"","Sub_region","SiteID","Lat","Lon","number"
"1","Biscayne","1",25.6446043907407,-80.1224615425926,45
"2","Biscayne","2",25.6415845619658,-80.1052344833333,39
"3","Biscayne","3",25.644021687037,-80.0831240685185,45
"4","Biscayne","EK_IN",25.3322680046296,-80.2202241898148,36
"5","Biscayne","EK_MID",25.3141831595238,-80.1947599166667,35
"6","Biscayne","EK_OFF",25.296555349537,-80.1660873333333,36
"7","UK","4",25.1080325952381,-80.3782458714286,35
"8","UK","5",25.0934582361111,-80.3552329351852,36
"9","UK","5.5",25.079180510101,-80.3329665,33
"10","UK","6",25.0641972095238,-80.3146069380952,35
"11","UK","6.5",25.0493250787037,-80.2873616574074,36
"12","UK","MR",25.0057612545045,-80.3748464864865,37
"13","UK","UK_IN",24.9347990115741,-80.5652158541667,36
"14","UK","UK_MID",24.9190658009259,-80.5463118333333,36
"15","UK","UK_OFF",24.8983690671296,-80.5296278078704,36
"16","MK","10",24.7859151937984,-80.8615506763566,43
"17","MK","11",24.7533178928571,-80.8480827460317,42
"18","MK","12",NA,NA,43
"19","MK","13",24.7006919979167,-81.0293188229167,40
"20","MK","14",24.6754665375,-81.02372054375,40
"21","MK","15",24.6437239708333,-81.01634896875,40
"22","MK","15.5",24.5923160197368,-80.9896376557018,38
"23","MK","7",24.8169820700758,-80.7544893977273,44
"24","MK","8",24.7923313901515,-80.7423335871212,44
"25","MK","9",24.7628568825758,-80.7236256912879,44
"26","MK","9.5",24.7170253178295,-80.689555631783,43
"27","LK","16",24.671797282197,-81.2028867045454,44
"28","LK","17",24.635661970363,-81.193862594437,45
"29","LK","18",24.5965266630435,-81.1832838206522,46
"30","LK","19",24.608456657197,-81.4209693390151,44
"31","LK","20",24.5705892367424,-81.4188897462121,44
"32","LK","21.5",24.4826028194444,-81.3908543988095,42
"33","LK","21LK",24.536726,-81.4142859962121,44
"34","LK","22",24.4555011918605,-81.8286755368217,43
"35","LK","22.5",24.3974704651163,-81.8280908100775,43
"36","LK","23",24.4866746449275,-81.8280612735507,46
"37","LK","24",24.5363523262411,-81.8281345195035,47
"38","LK","WS",24.4761132342342,-81.7160641351351,37
