"CTDID","Region","Year","Mission","Location","Latitude","Longitude","SiteID","ESTDate","UTCDate","EST.Time","UTCTime","Sample_Depth_m","DIC","TA","pH","pCO2","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","Survey_design","Sample_frequency","File_Origin","Notes","Bottle.No.","Temp..o.C..input","pCO2.25","pH.25","Omega.25","Locale","Date","Season","Precipitation","Month","BestSalinity","TA_0","DIC_0","nTA","nDIC","MY","ID","dec.lon","dec.lat","Zone","Sub_region","Reference"
"WS10067_24","FLK",2010,"WaltonSmith","LK",24.5357,-81.8295,"24","3/9/2010","3/9/2010","9:30:00 AM","14:30",0,2178.44,2459.03,8.08,386.4,3.11,36.21,NA,36.361,17.92,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-09,"Spring","Dry","March",36.21,2677.02550967879,3091.35743555061,2466.3145779263,2208.94621643237,"2010-03","24 _ 2010-03-09",-81.82833333,24.53666667,"Inshore","LK",11
"WS10067_3","FLK",2010,"WaltonSmith","UK",25.1068,-80.3812,"4","3/8/2010","3/8/2010","12:17:00 PM","17:17",0,2187.09,2558.48,8.216,275.5,4.1,35.73,NA,36.662,17.9,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",35.73,2677.02550967879,3091.35743555061,2560.90200453584,2205.56509733983,"2010-03","4 _ 2010-03-08",-80.38,25.10833333,"Inshore","UK",3
"WS10067_4","FLK",2010,"WaltonSmith","UK",25.0933,-80.3545,"5","3/8/2010","3/8/2010","12:42:00 PM","17:42",0,2112.23,2446.23,8.148,315.8,3.62,36.85,NA,36.682,18.86,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.85,2677.02550967879,3091.35743555061,2457.81674878984,2161.38565144555,"2010-03","5 _ 2010-03-08",-80.355,25.09333333,"Inshore","UK",3
"WS10067_5","FLK",2010,"WaltonSmith","UK",25.079,-80.333,"5.5","3/8/2010","3/8/2010","12:45:00 PM","17:45",0,2080.85,2428.08,8.147,313.7,3.8,36.45,NA,36.553,20.77,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.45,2677.02550967879,3091.35743555061,2437.98318214086,2121.04851252533,"2010-03","5.5 _ 2010-03-08",-80.33416667,25.07966667,"Mid channel","UK",3
"WS10067_6","FLK",2010,"WaltonSmith","UK",25.0616,-80.3143,"6","3/8/2010","3/8/2010","1:22:00 PM","18:22",0,2067.41,2420.28,8.144,314.8,3.87,36.33,NA,36.507,21.71,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.33,2677.02550967879,3091.35743555061,2429.67916124065,2104.89555159048,"2010-03","6 _ 2010-03-08",-80.315,25.065,"Offshore","UK",3
"WS10067_7","FLK",2010,"WaltonSmith","UK",25.0484,-80.2868,"6.5","3/8/2010","3/8/2010","1:50:00 PM","18:50",0,2062.71,2418.08,8.143,315.3,3.9,36.41,NA,36.512,22.01,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.41,2677.02550967879,3091.35743555061,2428.10782665881,2102.54501466977,"2010-03","6.5 _ 2010-03-08",-80.28766667,25.04833333,"Oceanic","UK",3
"WS10067_8","FLK",2010,"WaltonSmith","MK",24.8192,-80.7545,"7","3/8/2010","3/8/2010","5:11:00 PM","22:11",0,2264.78,2625.78,8.172,321.6,4.08,35.27,NA,35.357,19.5,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",35.27,2677.02550967879,3091.35743555061,2626.17229621813,2271.10764127016,"2010-03","7 _ 2010-03-08",-80.75666667,24.82083333,"Inshore","MK",6
"WS10067_9","FLK",2010,"WaltonSmith","MK",24.792,-80.742,"8","3/8/2010","3/8/2010","5:32:00 PM","22:32",0,2065.2,2386.83,8.117,335.9,3.52,36.24,NA,35.915,20.64,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-03-08,"Spring","Dry","March",36.24,2677.02550967879,3091.35743555061,2396.75942693161,2100.31134713253,"2010-03","8 _ 2010-03-08",-80.74166667,24.7925,"Mid channel","MK",6
"WS10180_1","FLK",2010,"WaltonSmith","Biscayne",25.645,-80.1267,"1","6/29/2010","6/29/2010","7:16:00 AM","11:16 AM",0,1786.83,2142.38,8.064,337.9,3.89,36.5,NA,36.773,30.35,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",36.5,2677.02550967879,3091.35743555061,2164.35173327447,1840.44071652948,"2010-06","1 _ 2010-06-29",-80.12666667,25.645,"Inshore","Biscayne",1
"WS10180_11","FLK",2010,"WaltonSmith","MK",24.7001,-81.0251,"13","6/30/2010","6/30/2010","1:53:00 AM","5:53 AM",0,1981.05,2324.68,8.018,422.2,3.89,36.68,NA,37.013,29.99,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.68,2677.02550967879,3091.35743555061,2340.81796227536,2031.90377567407,"2010-06","13 _ 2010-06-30",-81.03,24.70166667,"Inshore","MK",8
"WS10180_12","FLK",2010,"WaltonSmith","MK",24.675,-81.024,"14","6/30/2010","6/30/2010","2:12:00 AM","6:12 AM",0,1914.02,2310.18,8.095,333.7,4.41,36.81,NA,36.699,30.13,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.81,2677.02550967879,3091.35743555061,2328.21831492851,1971.91135447831,"2010-06","14 _ 2010-06-30",-81.02333333,24.675,"Mid channel","MK",8
"WS10180_13","FLK",2010,"WaltonSmith","LK",24.6735,-81.2022,"16","6/30/2010","6/30/2010","3:51:00 AM","7:51 AM",0,1847.78,2208.48,8.056,355.4,3.95,37.17,NA,37.374,30.07,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",37.17,2677.02550967879,3091.35743555061,2235.83388097936,1920.38056591727,"2010-06","16 _ 2010-06-30",-81.205,24.675,"Inshore","LK",9
"WS10180_14","FLK",2010,"WaltonSmith","LK",24.6352,-81.1941,"17","6/30/2010","6/30/2010","4:24:00 AM","8:24 AM",0,2010.31,2338.43,7.996,453.8,3.74,36.5,NA,36.697,29.85,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.5,2677.02550967879,3091.35743555061,2352.3448839594,2054.73660694044,"2010-06","17 _ 2010-06-30",-81.19333333,24.635,"Mid channel","LK",9
"WS10180_15","FLK",2010,"WaltonSmith","LK",24.5968,-81.1822,"18","6/30/2010","6/30/2010","4:48:00 AM","8:48 AM",0,2030.15,2359.08,7.999,454.6,3.77,36.22,NA,36.406,29.7,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.22,2677.02550967879,3091.35743555061,2369.78937387654,2065.8947010318,"2010-06","18 _ 2010-06-30",-81.18333333,24.59833333,"Offshore","LK",9
"WS10180_16","FLK",2010,"WaltonSmith","LK",24.6083,-81.4176,"19","6/30/2010","6/30/2010","6:28:00 AM","10:28 AM",0,1844.15,2192.83,8.042,368.1,3.83,37.05,NA,37.274,30.05,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",37.05,2677.02550967879,3091.35743555061,2219.62084466509,1913.15877848526,"2010-06","19 _ 2010-06-30",-81.42166667,24.61,"Inshore","LK",10
"WS10180_17","FLK",2010,"WaltonSmith","LK",24.5747,-81.4185,"20","6/30/2010","6/30/2010","6:51:00 AM","10:51 AM",0,2051.91,2403.28,8.028,427.1,4.03,36.24,NA,36.437,29.63,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.24,2677.02550967879,3091.35743555061,2412.64656821197,2087.47608223186,"2010-06","20 _ 2010-06-30",-81.41833333,24.575,"Mid channel","LK",10
"WS10180_18","FLK",2010,"WaltonSmith","LK",24.4844,-81.3909,"21.5","6/30/2010","6/30/2010","7:53:00 AM","11:53 AM",0,2032.43,2388.68,8.039,411,4.08,36.11,NA,36.27,29.62,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.11,2677.02550967879,3091.35743555061,2397.54357008428,2064.98080181283,"2010-06","21.5 _ 2010-06-30",-81.39166667,24.48333333,"Oceanic","LK",10
"WS10180_19","FLK",2010,"WaltonSmith","LK",24.4592,-81.8269,"22","6/30/2010","6/30/2010","11:36:00 AM","3:36 PM",0,2042.41,2405.03,8.043,409.1,4.16,36.19,NA,36.292,29.78,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.19,2677.02550967879,3091.35743555061,2413.97375950588,2076.90150174925,"2010-06","22 _ 2010-06-30",-81.82833333,24.455,"Offshore","LK",11
"WS10180_2","FLK",2010,"WaltonSmith","Biscayne",25.6475,-80.0833,"3","6/29/2010","6/29/2010","7:54:00 AM","11:54 AM",0,2054.34,2364.58,7.968,498,3.58,36.3,NA,36.492,29.67,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",36.3,2677.02550967879,3091.35743555061,2375.76950861109,2091.47836546049,"2010-06","3 _ 2010-06-29",-80.08333333,25.645,"Offshore","Biscayne",1
"WS10180_20","FLK",2010,"WaltonSmith","LK",24.5361,-81.8293,"24","6/30/2010","6/30/2010","12:42:00 PM","4:42 PM",0,1941.42,2281.88,8.019,412.8,3.83,36.67,NA,36.91,30.08,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-30,"Summer","Wet","June",36.67,2677.02550967879,3091.35743555061,2299.87544590029,1993.78966232259,"2010-06","24 _ 2010-06-30",-81.82833333,24.53666667,"Inshore","LK",11
"WS10180_3","FLK",2010,"WaltonSmith","UK",25.0785,-80.3324,"5.5","6/29/2010","6/29/2010","1:55:00 PM","5:55 PM",0,2016.71,2395.18,8.061,385.1,4.32,36.32,NA,36.497,30.12,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",36.32,2677.02550967879,3091.35743555061,2405.42328394207,2055.76656979424,"2010-06","5.5 _ 2010-06-29",-80.33416667,25.07966667,"Mid channel","UK",3
"WS10180_4","FLK",2010,"WaltonSmith","UK",25.0678,-80.3156,"6","6/29/2010","6/29/2010","2:23:00 PM","6:23 PM",0,2038.14,2372.23,8.004,450.5,3.83,36.27,NA,36.435,29.73,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",36.27,2677.02550967879,3091.35743555061,2382.90246477232,2075.01858128341,"2010-06","6 _ 2010-06-29",-80.315,25.065,"Offshore","UK",3
"WS10180_5","FLK",2010,"WaltonSmith","MK",24.8157,-80.7525,"7","6/29/2010","6/29/2010","7:06:00 PM","11:06 PM",0,1767.63,2188.08,8.144,270,4.55,37.13,NA,37.274,30.4,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",37.13,2677.02550967879,3091.35743555061,2216.12885363899,1843.56696304128,"2010-06","7 _ 2010-06-29",-80.75666667,24.82083333,"Inshore","MK",6
"WS10180_6","FLK",2010,"WaltonSmith","MK",24.793,-80.7415,"8","6/29/2010","6/29/2010","7:19:00 PM","11:19 PM",0,2030.22,2389.78,8.04,409,4.11,36.31,NA,36.545,29.71,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",36.31,2677.02550967879,3091.35743555061,2400.14330536159,2068.50394493449,"2010-06","8 _ 2010-06-29",-80.74166667,24.7925,"Mid channel","MK",6
"WS10180_7","FLK",2010,"WaltonSmith","MK",24.7633,-80.7235,"9","6/29/2010","6/29/2010","7:50:00 PM","11:50 PM",0,2045.02,2391.28,8.023,431.2,3.97,36.23,NA,36.414,29.59,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2010-06-29,"Summer","Wet","June",36.23,2677.02550967879,3091.35743555061,2400.98099301421,2080.54291045342,"2010-06","9 _ 2010-06-29",-80.72333333,24.76333333,"Offshore","MK",6
"WS11052_11","FLK",2011,"WaltonSmith","LK",24.6105,-81.422,"19","2/22/2011","2/22/2011","8:45:00 AM","1:45 PM",0,2072.11,2449.46,8.153,309.7,4.2,35.92,NA,35.968,23.54,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-02-22,"Winter","Dry","February",35.92,2677.02550967879,3091.35743555061,2455.28851528131,2098.21544656755,"2011-02","19 _ 2011-02-22",-81.42166667,24.61,"Inshore","LK",10
"WS11052_13","FLK",2011,"WaltonSmith","LK",24.4831,-81.3928,"21.5","2/22/2011","2/22/2011","6:52:00 AM","11:52 AM",0,2071.43,2398.31,8.105,348.5,3.6,36.28,NA,36.42,21.86,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-02-22,"Winter","Dry","February",36.28,2677.02550967879,3091.35743555061,2408.14340276706,2107.41420941303,"2011-02","21.5 _ 2011-02-22",-81.39166667,24.48333333,"Oceanic","LK",10
"WS11052_3","FLK",2011,"WaltonSmith","UK",25.0524,-80.2865,"6.5","2/21/2011","2/21/2011","6:16:00 PM","11:16 PM",0,2046.15,2380.21,8.113,337.4,3.67,36.27,NA,36.292,22.27,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-02-21,"Winter","Dry","February",36.27,2677.02550967879,3091.35743555061,2390.60304376322,2082.74810981939,"2011-02","6.5 _ 2011-02-21",-80.28766667,25.04833333,"Oceanic","UK",3
"WS11094_10","FLK",2011,"WaltonSmith","MK",24.7636,-80.7249,"9","4/4/2011","4/5/2011","10:41:00 PM","2:41 AM",0,2024.36,2377,8.101,347.2,3.93,36.09,NA,36.103,25.23,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-04-04,"Spring","Dry","April",36.09,2677.02550967879,3091.35743555061,2386.06145207952,2056.58574687587,"2011-04","9 _ 2011-04-04",-80.72333333,24.76333333,"Offshore","MK",6
"WS11094_21","FLK",2011,"WaltonSmith","LK",24.6087,-81.4202,"19","4/7/2011","4/8/2011","9:48:00 PM","1:48 AM",0,1884.31,2269.4,8.121,307.8,4.26,36.17,NA,36.235,28.33,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-04-07,"Spring","Dry","April",36.17,2677.02550967879,3091.35743555061,2282.58556390169,1923.35466407504,"2011-04","19 _ 2011-04-07",-81.42166667,24.61,"Inshore","LK",10
"WS11094_23","FLK",2011,"WaltonSmith","LK",24.5363,-81.4212,"21LK","4/7/2011","4/8/2011","10:35:00 PM","2:35 AM",0,2013.08,2359.55,8.075,370,3.9,35.86,NA,36.044,26.7,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-04-07,"Spring","Dry","April",35.86,2677.02550967879,3091.35743555061,2367.16374618862,2038.93941423797,"2011-04","21LK _ 2011-04-07",-81.42,24.54,"Offshore","LK",10
"WS11094_4","FLK",2011,"WaltonSmith","UK",25.108,-80.378,"4","4/4/2011","4/4/2011","10:46:00 AM","2:46 PM",0,1852.65,2299.9,8.245,217.1,4.82,36.43,NA,36.276,25.31,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-04-04,"Spring","Dry","April",36.43,2677.02550967879,3091.35743555061,2314.70344438212,1901.27343213937,"2011-04","4 _ 2011-04-04",-80.38,25.10833333,"Inshore","UK",3
"WS11094_6","FLK",2011,"WaltonSmith","UK",25.0652,-80.3196,"6","4/4/2011","4/4/2011","5:30:00 PM","9:30 PM",0,2033.39,2380.6,8.091,357.2,3.87,36.15,NA,36.146,25.21,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-04-04,"Spring","Dry","April",36.15,2677.02550967879,3091.35743555061,2390.02985715437,2067.04594884877,"2011-04","6 _ 2011-04-04",-80.315,25.065,"Offshore","UK",3
"WS11094_8","FLK",2011,"WaltonSmith","MK",24.8187,-80.755,"7","4/4/2011","4/5/2011","9:58:00 PM","1:58 AM",0,1978.95,2382.3,8.13,313.9,4.47,36.86,NA,36.864,27.55,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-04-04,"Spring","Dry","April",36.86,2677.02550967879,3091.35743555061,2397.1722042323,2035.08341915692,"2011-04","7 _ 2011-04-04",-80.75666667,24.82083333,"Inshore","MK",6
"WS11158_18","FLK",2011,"WaltonSmith","LK",24.6087,-81.4207,"19","6/8/2011","6/8/2011","8:40:00 AM","12:40 PM",0,1948.71,2305.21,8.073,359,3.93,36.93,NA,37.072,27.61,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-06-08,"Summer","Wet","June",36.93,2677.02550967879,3091.35743555061,2324.64146313783,2008.42593692425,"2011-06","19 _ 2011-06-08",-81.42166667,24.61,"Inshore","LK",10
"WS11158_20","FLK",2011,"WaltonSmith","LK",24.5352,-81.4121,"21LK","6/8/2011","6/8/2011","9:30:00 AM","1:30 PM",0,2027.3,2375.01,8.058,389.6,3.93,36.15,NA,36.353,27.59,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-06-08,"Summer","Wet","June",36.15,2677.02550967879,3091.35743555061,2384.61768564677,2061.14968328861,"2011-06","21LK _ 2011-06-08",-81.42,24.54,"Offshore","LK",10
"WS11158_7","FLK",2011,"WaltonSmith","MK",24.8184,-80.755,"7","6/7/2011","6/8/2011","8:34:00 PM","12:34 AM",0,1928.2,2339.86,8.139,299.2,4.55,36.8,NA,36.922,28.31,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-06-07,"Summer","Wet","June",36.8,2677.02550967879,3091.35743555061,2356.35179123429,1985.09357021715,"2011-06","7 _ 2011-06-07",-80.75666667,24.82083333,"Inshore","MK",6
"WS11158_9","FLK",2011,"WaltonSmith","MK",24.761,-80.7276,"9","6/7/2011","6/8/2011","9:28:00 PM","1:28 AM",0,2025.51,2381.56,8.067,380.3,4.02,36.23,NA,36.335,27.7,"",NA,"Permanent","Single","Lauren’s_DB","","",NA,NA,NA,NA,"",2011-06-07,"Summer","Wet","June",36.23,2677.02550967879,3091.35743555061,2391.59098473378,2061.69527037613,"2011-06","9 _ 2011-06-07",-80.72333333,24.76333333,"Offshore","MK",6
