"","Region","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","DRTO","(Intercept)",2084.63427456566,32.0542432495977,65.0345808613597,5.78312677531225e-127,0.00583191756762625,0.000308761554113079,20.9403703375735,1.05590310202312,0.30553031862126,1,-810.826836101167,1627.65367220233,1637.26569226356,78929.839777451,180,182
"2","DRTO","BestSalinity",-0.927477483094783,0.902591713262186,-1.02757145835369,0.305530318621258,0.00583191756762625,0.000308761554113079,20.9403703375735,1.05590310202312,0.30553031862126,1,-810.826836101167,1627.65367220233,1637.26569226356,78929.839777451,180,182
"3","FGB","(Intercept)",2307.54092346867,50.0711465132594,46.0852423832077,3.02513142034033e-56,0.242164743324964,0.231923726342869,15.0470881628978,23.6465522660839,6.33429897229512e-06,1,-312.875956748913,631.751913497826,638.744113518685,16754.6998014694,74,76
"4","FGB","BestSalinity",-6.76589941774314,1.39136675780314,-4.86277207630428,6.33429897229325e-06,0.242164743324964,0.231923726342869,15.0470881628978,23.6465522660839,6.33429897229512e-06,1,-312.875956748913,631.751913497826,638.744113518685,16754.6998014694,74,76
"5","FLK","(Intercept)",2852.90025686808,89.4014635994924,31.9111135545691,4.17274800308107e-165,0.0611603507153105,0.0604308715783372,71.5731972255264,83.8411239135214,2.04826099411459e-19,1,-7332.96992789974,14671.9398557995,14687.4247218083,6592943.93611524,1287,1289
"6","FLK","BestSalinity",-22.7122819955746,2.48045998865113,-9.15647988658968,2.04826099411468e-19,0.0611603507153105,0.0604308715783372,71.5731972255264,83.8411239135214,2.04826099411459e-19,1,-7332.96992789974,14671.9398557995,14687.4247218083,6592943.93611524,1287,1289
"7","GOM","(Intercept)",4646.93694925764,249.515795737791,18.6238187266548,6.87225954657115e-48,0.287900648797539,0.284817967623502,221.41691614023,93.3929370388135,8.99468417742467e-19,1,-1587.81941115804,3181.63882231608,3191.99193767678,11324879.1239545,231,233
"8","GOM","BestSalinity",-68.9585323008225,7.13560814879023,-9.66400212328275,8.99468417742486e-19,0.287900648797539,0.284817967623502,221.41691614023,93.3929370388135,8.99468417742467e-19,1,-1587.81941115804,3181.63882231608,3191.99193767678,11324879.1239545,231,233
"9","PR","(Intercept)",1714.66362482821,41.8424208838836,40.9790731178427,2.94739674250859e-92,0.209809308903336,0.205344954716349,23.3642594497617,46.9965643664455,1.14023935631339e-10,1,-817.050507948943,1640.10101589789,1649.66317331541,96622.2856755329,177,179
"10","PR","BestSalinity",8.3024834550579,1.21108594372754,6.85540402649219,1.14023935631346e-10,0.209809308903336,0.205344954716349,23.3642594497617,46.9965643664455,1.14023935631339e-10,1,-817.050507948943,1640.10101589789,1649.66317331541,96622.2856755329,177,179
"11","SEFCRI","(Intercept)",3986.89115752082,77.5284886504895,51.4248533270699,2.68535680503757e-42,0.929973241216394,0.928450920373272,14.4972661256065,610.891748226521,3.34471886782056e-28,1,-195.437703100018,396.875406200036,402.489009232759,9667.85335536623,46,48
"12","SEFCRI","BestSalinity",-54.056213246689,2.18707406066526,-24.7162243926236,3.34471886782048e-28,0.929973241216394,0.928450920373272,14.4972661256065,610.891748226521,3.34471886782056e-28,1,-195.437703100018,396.875406200036,402.489009232759,9667.85335536623,46,48
"13","STX","(Intercept)",1316.0119077995,97.9368263069005,13.4373550524863,2.75609011785512e-26,0.28426423630648,0.278715897053041,17.7394791081282,51.2341122851003,5.52722750267484e-11,1,-561.602068085037,1129.20413617007,1137.82972813968,40594.8963545754,129,131
"14","STX","BestSalinity",19.6513447127087,2.74544448262993,7.15780079948444,5.52722750267525e-11,0.28426423630648,0.278715897053041,17.7394791081282,51.2341122851003,5.52722750267484e-11,1,-561.602068085037,1129.20413617007,1137.82972813968,40594.8963545754,129,131
"15","USVI","(Intercept)",1712.86990652259,71.8427052280794,23.8419461110872,1.35525952758e-58,0.076234639425997,0.0712947177116975,22.617058210133,15.4323578054531,0.000120219578904173,1,-856.609187564992,1719.21837512998,1728.94361617516,95656.3572290621,187,189
"16","USVI","BestSalinity",8.01470769775051,2.04019437536193,3.92840397686554,0.000120219578904179,0.076234639425997,0.0712947177116975,22.617058210133,15.4323578054531,0.000120219578904173,1,-856.609187564992,1719.21837512998,1728.94361617516,95656.3572290621,187,189
