"Region","Year","Tmean","Tsd","Smean","Ssd","nTAmean","nTAsd","nDICmean","nDICsd","pCO2mean","pCO2sd","pHmean","pHsd","Amean","Asd"
"DRTO",2011,27.14625,2.76339820562603,35.52625,0.509115128714236,2376.51223697203,20.7952099782727,2024.69231871747,23.1686216652507,371.1375,24.6537124124195,8.077375,0.0231821205735309,4.01375,0.532673512978233
"DRTO",2012,24.6366666666667,0.627402050788276,36.1666666666667,0.040414518843274,2346.78658303096,47.9075046175767,2040.20965272741,5.84820393827925,415.366666666667,86.5394900223784,8.03733333333333,0.0783602790534419,3.43666666666667,0.560832714214616
"DRTO",2014,29.3966666666667,1.72930540250739,33.6858333333333,2.02124503640087,2381.32313750098,14.7850580228831,2049.81903974802,25.2867370998598,459.936666666667,39.9931857190047,8.1247,0.127274067019143,3.78333333333333,0.19168889578784
"DRTO",2016,27.053488372093,1.05341820872843,36.3294418604651,0.242329694967668,2385.62154637854,20.0990709977255,2054.5982862783,24.6246794884019,425.165441860465,31.1500177851377,8.02711627906977,0.02499829451547,3.71855813953488,0.238706763956032
"DRTO",2018,29.5270588235294,1.00442908536786,36.4685147058824,0.115419221949529,2390.96589333823,9.93362630488993,2056.48535702395,8.22502061632733,453.831852941176,27.4544709564843,8.0045,0.0216012022882641,3.85045588235294,0.142433376289757
"FGB",2013,30.0818181818182,0.403126310864005,37.4272727272727,0.276339711883102,2379.26321778451,5.11017200636542,2066.06605352402,9.4996313322243,439.554545454545,22.0436736907338,8.01427272727273,0.0167422528443166,4.03909090909091,0.115836875899611
"FGB",2015,29.4269565217391,0.423818515861862,36.1991304347826,0.136978533271002,2387.78650600754,5.03723944245262,2068.64583248606,6.31577507772441,442.90352173913,17.7916419929787,8.01530434782609,0.0142396207259524,3.91934782608696,0.111068205374262
"FGB",2018,29.2235294117647,0.248820748141875,35.3337647058824,0.724039322949017,2406.16512187249,14.1529113106999,2080.27209138778,18.585073762576,450.930529411765,22.3278693288165,8.01358823529412,0.0178047003047279,3.86835294117647,0.126321980063087
"FGB",2019,27.7371428571429,0.125417982481263,34.0524456207143,0.142953945321058,2372.61675394467,5.74675171820663,2069.87532726793,22.2754021112005,491.042336578571,54.2222478237678,7.98176358657143,0.0385676709701455,3.36770706378571,0.232696736746492
"FLK",2010,24.4338636363636,5.18362458082431,36.3213636363636,0.467599465399912,2414.9857226743,116.847767287169,2095.85256865513,110.794317703858,363.043181818182,58.9052901550043,8.09379545454545,0.0679889113891494,3.85727272727273,0.315759428858932
"FLK",2011,26.9551898734177,2.68973768557858,35.639835443038,1.24498666434809,2357.31160992601,71.1728262924129,2020.45388303604,73.8821206160398,371.442405063291,63.5955054838446,8.07701898734177,0.0559683112706102,3.96360759493671,0.626510117907156
"FLK",2012,25.0726923076923,0.751603925973289,35.9907692307692,0.215664982357787,2374.14347182799,19.7452668259746,2046.36644851498,25.7193754489716,345.903846153846,33.217170027192,8.10357692307692,0.036924975912705,3.875,0.181046955235375
"FLK",2014,23.9891891891892,1.33391316221271,35.9430540540541,0.255681545193533,2404.35077556566,47.9821080810799,2103.40379565567,70.4933231632542,393.838027027027,49.9812242355325,8.06410810810811,0.0339024612215231,3.58816216216216,0.284361908833084
"FLK",2015,28.686387434555,1.84045847739067,36.024890052356,0.923188105058539,2347.65232214788,49.218563912784,2038.32648095676,52.2039687218881,434.837089005236,73.0865198429587,8.01812565445026,0.0583258985670036,3.75558638743456,0.370942386820431
"FLK",2016,27.4601339285714,2.36538044416957,36.3969553571429,0.458110799615699,2364.41503894955,63.2619696844828,2056.95186897481,59.8027014545261,412.338888392857,61.309766700802,8.03838839285714,0.0563823116452652,3.77841071428571,0.330692724581245
"FLK",2017,27.1801129943503,2.9247727162474,36.085384180791,0.740542636869112,2371.06906632034,78.9998118241772,2073.14632513743,74.5056012178086,438.880378531073,79.2656114511534,8.01962711864407,0.060231626292631,3.6274802259887,0.322354602361414
"FLK",2018,26.9305314009662,3.21762186916692,36.2834483046377,0.519744846741346,2366.32108540606,65.4681774416968,2053.18772728485,71.4258435499203,396.585024730049,60.9522002445347,8.05370042851846,0.0576513989130624,3.8157173955573,0.38665938488972
"FLK",2019,28.0396688741722,2.46953564950135,35.7723191251656,0.758401832973768,2374.49944413153,40.374070879139,2086.27295235714,57.6039483757386,487.837576737271,77.5762378767778,7.98351831251071,0.0576879029593082,3.50262856839225,0.369211878993575
"FLK",2020,26.8009459459459,2.8830169979965,35.391849332027,0.481087509053317,2376.20943271182,53.408807789551,2069.48456951752,57.0463585048681,434.325256015607,56.1027392498958,8.02538914389622,0.047280284422475,3.61040442896431,0.315292166058328
"GOM",2011,25.64384,3.79053804675154,34.64288,2.24640315228159,2528.21435806116,169.07743010331,2188.77351276872,165.257901846713,443.1976,122.717668013129,8.053176,0.068624629266288,3.91152,0.771675027707322
"GOM",2012,24.87,0.784732792455849,35.2732432432432,0.652380487369373,2623.84385374611,175.81611654666,2313.63272975935,169.792487165635,493.724324324324,119.302452720911,8.02083783783784,0.0648003401540769,3.69864864864865,0.488376915928683
"GOM",2014,20.8636363636364,0.220330330516373,33.9772727272727,1.6039082948167,2543.48272719905,80.6365750121776,2198.84069379579,77.1996142913446,375.12,79.9637888046833,8.12190909090909,0.0460943696029232,3.79272727272727,0.220458200532024
"GOM",2015,28.43125,1.3399200119029,35.9052083333333,1.53105302322587,2699.03133478942,299.590137454724,2378.91630238175,284.463759456373,547.6825,157.736732395497,7.98704166666667,0.0638771954557398,3.97229166666667,0.507875171391861
