ESTDate,EST Time,SiteID,Temperature_C,Salinity,TA,DIC,Aragonite_Sat_W,pCO2,pH
12/11/11,7:36 PM,5,23.89,35.92,2389.86,2068.955,3.59,382.2,8.071
12/11/11,11:19 PM,7,24.25,36,2364.96,2020.615,3.82,341.7,8.106
12/12/11,12:02 AM,9,25.98,35.96,2358.21,2015.575,3.84,366.4,8.079
12/12/11,12:50 AM,9.5,26.08,35.95,2353.81,2012.215,3.83,368,8.076
12/12/11,2:54 AM,10,23.55,35.73,2427.26,2121.925,3.46,416.2,8.047
12/12/11,3:17 AM,11,24.63,35.98,2373.51,2036.655,3.76,361.5,8.087
12/12/11,3:40 AM,12,25.91,35.96,2357.66,2013.525,3.85,362.7,8.082
12/12/11,5:04 AM,13,24.14,35.92,2389.71,2072.465,3.56,392.6,8.061
12/12/11,5:18 AM,14,24.74,35.94,2383.56,2054.09,3.69,378.4,8.073
1/30/12,,,,33.3,9.81,-0.45,,,
12/12/11,5:32 AM,15,26.28,35.95,2359.51,2011.7,3.9,362.6,8.082
12/12/11,5:57 AM,15.5,25.96,35.89,2365.26,2013.01,3.95,352.3,8.094
12/12/11,8:09 AM,16,23.64,35.94,2363.91,2048.26,3.52,379.2,8.07
12/12/11,8:24 AM,17,25.22,35.98,2365.51,2048.55,3.56,402.4,8.048
12/12/11,9:00 AM,18,26,35.95,2363.01,2015.56,3.89,360.3,8.085
1/30/12,,,,33.3,12.76,,,,
1/30/12,,,,33.3,4.31,,,,
12/12/11,10:37 AM,19,23.07,35.77,2376.81,2085.47,3.28,418.2,8.038
12/12/11,11:00 AM,20,24.99,35.96,2371.06,2028.35,3.83,356.2,8.092
12/12/11,11:22 AM,21,26.04,35.95,2379.01,2018.72,4.04,346.1,8.102
12/12/11,11:55 AM,21.5,22.81,35.98,2390.86,2072.46,3.54,371.1,8.082
12/12/11,3:46 PM,24,24.35,36,2367.11,2036.11,3.69,365.2,8.083
12/12/11,4:40 PM,23,35.54,35.96,2366.66,2023.78,4.1,534.1,7.939
2/3/13,,,,33.3,1.01,-1.385,,,
12/12/11,5:22 PM,22,25.8,35.94,2357.86,2025.69,3.73,381.1,8.065
12/12/11,5:57 PM,22.5,25.64,35.97,2360.56,2020.2,3.81,366.1,8.08
12/13/11,4:45 AM,DT9,25.45,35.96,2351.36,2029.44,3.61,391.8,8.055
12/13/11,6:28 AM,DT10,25.18,35.9,2364.16,2028.98,3.75,368.4,8.079
12/13/11,7:09 AM,DT11,23.51,36.15,2360.06,2057.57,3.37,402,8.048
3/5/12,,,,33.3,-2.24,,,,
3/9/12,,,,33.3,-10.59,,,,
3/19/12,,,,33.3,-0.54,,,,
3/20/12,,,,33.3,-0.54,,,,
3/23/12,,,,33.3,0.26,,,,
3/26/12,,,,33.3,13.11,,,,
3/28/12,,,,33.3,7.36,,,,
4/2/12,,,,33.3,14.51,,,,
4/4/12,,,,33.3,5.61,-1.06,,,
4/6/12,,,,33.3,5.41,,,,
4/10/12,,,,33.3,-4.49,,,,
4/16/12,,,,33.3,-32.69,,,,
5/9/12,,,,33.3,8.06,,,,
5/31/12,,,,33.3,24.41,,,,
4/30/12,,,,33.21,,2.6,,,
2/27/12,3:16 PM,3,21.85,36.34,2362.81,2032.02,3.62,332.2,8.116
2/27/12,6:42 PM,2,24.61,35.84,2370.21,2050.06,3.59,387.2,8.063
2/27/12,6:59 PM,1,24.63,35.72,2380.56,2055.56,3.65,381.2,8.07
2/27/12,11:48 PM,5,24.93,35.75,2338.41,1950.99,4.27,281.5,8.168
2/28/12,3:38 AM,8,25.13,36.06,2357.21,2021.14,3.75,365.5,8.08
2/28/12,4:48 AM,9.5,15.43,35.89,2354.31,2016.51,3.59,241.5,8.233
2/28/12,7:30 AM,10,24.98,35.83,2346.56,1969.58,4.17,298.1,8.149
2/28/12,7:55 AM,11,25.2,36.07,2358.86,2027.86,3.7,375.7,8.071
2/28/12,8:22 AM,12,25.42,35.96,2356.21,2024.66,3.71,376.2,8.07
2/28/12,9:47 AM,13,25.33,36.03,2337.26,1981.85,3.94,331.4,8.111
6/1/12,,,,33.3,26.61,,,,
5/1/12,,,,33.21,,2.1,,,
2/28/12,10:01 AM,14,25.26,36.09,2356.46,2017.75,3.78,363.1,8.082
2/28/12,10:13 AM,15,25.41,36.02,2375.46,2025.64,3.91,352.9,8.095
2/28/12,10:37 AM,15.5,25.53,36.02,2379.06,2021.65,3.99,344,8.104
2/28/12,12:56 PM,16,25.08,36.13,2402.16,2039.3,4.05,337.9,8.114
2/28/12,1:40 PM,17,25,36.13,2405.96,2040.11,4.08,333.7,8.119
2/28/12,5:54 PM,20,25.25,36.03,2385.56,2021.43,4.06,332.4,8.117
2/28/12,2:47 PM,18,24.67,36.05,2397.26,2040.35,3.98,339,8.113
2/28/12,7:17 PM,21.5,25.26,36.06,2390.51,2032.63,4,343.7,8.106
2/28/12,11:43 PM,22.5,24.64,36.17,2401.06,2041.7,4,337.2,8.115
6/14/12,,,,33.21,-1.09,,,,
2/29/12,12:56 AM,22,25.28,36.1,2369.01,2030.19,3.78,367.5,8.08
2/29/12,1:16 AM,23,25.04,36,2377.86,2038.14,3.8,364.4,8.084
2/29/12,1:47 AM,24,25.92,36.13,2387.01,2055.8,3.73,396.7,8.055
6/15/12,,,,33.21,6.71,1.545,,,
2/29/12,11:55 AM,DT9,25.36,36.12,2370.71,2031.82,3.79,369.2,8.078
2/29/12,1:22 PM,DT10,24.24,36.19,2377.61,2042.285,3.73,361.7,8.087
2/29/12,2:00 PM,DT11,24.31,36.19,2288.56,2042.085,2.79,515.2,7.947
6/18/12,,,,33.21,6.76,2.59,,,
6/20/12,,,,33.3,3.91,,,,
3/2/12,7:39 PM,6.5,25.81,35.95,2358.81,2017.025,3.83,365.4,8.08
6/21/12,,,,33.3,-4.79,,,,
3/1/12,8:09 AM,5.5,25.96,36.04,2345.11,1997.33,3.88,354.3,8.088
6/22/12,,,,33.3,-2.74,,,,
6/26/12,,,,33.21,2.01,-0.665,,,
6/27/12,,,,33.21,2.11,,,,
9/1/10,,,,33.33,-31.17,-13.2,,,
3/8/10,12:38 PM,1,20.34,36.37,2424.23,2072.52,3.83,300.5,8.162
3/8/10,1:24 PM,3,21.58,36.55,2418.43,2068.17,3.83,318.2,8.139
3/8/10,3:09 PM,4,17.9,35.73,2558.48,2187.09,4.1,275.5,8.216
3/8/10,3:45 PM,5,18.86,36.85,2446.23,2112.23,3.62,315.8,8.148
3/8/10,4:03 PM,5.5,20.77,36.45,2428.08,2080.85,3.8,313.7,8.147
3/8/10,4:14 PM,6,21.71,36.33,2420.28,2067.41,3.87,314.8,8.144
3/8/10,5:10 PM,6.5,22.01,36.41,2418.08,2062.71,3.9,315.3,8.143
3/8/10,8:19 PM,7,19.5,35.27,2625.78,2264.78,4.08,321.6,8.172
