"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","legacy_flag","source_code","sample_num","bottle_name","deployment_id","project_code","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_machine","dic_kg_flag","calibration_dic_id","calc_avg_crm_init_dic","crm_init_dic_temp","calibration_dic_kg_flag","dic_crm_id","dic_crm_batch","dic_crm_dic","dic_crm_salinity","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_machine","ta_kg_flag","calibration_ta_id","calc_avg_crm_ta","calc_avg_crm_ta_temp","calibration_ta_kg_flag","ta_crm_id","ta_crm_batch","ta_crm_ta","ta_crm_salinity","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id"
"WS22022_1","FL","2022","WaltonSmith","Upper_Keys","25.645096","-80.1276448333333","2022-01-22","15:07:00","0","2165.805963332592773354","2463.587230835364077362","8.004882544271771","8.07270856148044","401.821618665522","3.44731930402008","33.83193961309623",,"33.649","22.33","0",,"1","Permanent","Single","1","17105","0","O","7088","1R","662","Walton Smith-Jan 2022","16226","2022-01-22","15:07:00","+00:00","9797","22811","2216.475616298965","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15150","2511.35","24.8","AS2","0","1360","2266.6","25.45","0","9","191","2225.5","33.316","3115","24.818","2.0038","9822"
"WS22022_2","FL","2022","WaltonSmith","Upper_Keys","25.6407355","-80.104398","2022-01-22","15:21:00","0","2098.891021012649834728","2416.114484248097468393","8.035947139277138","8.10026170064705","360.453294331808","3.56513148661658","35.10354504614412",,"34.421","22.035","0",,"2","Permanent","Single","1","17106","0","O","7089","2R","662","Walton Smith-Jan 2022","16227","2022-01-22","15:21:00","+00:00","9798","22812","2150.076134312785","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15151","2465.05","24.9","AS2","0","1360","2266.6","25.45","0","9","191","2225.5","33.316","3116","24.944","2.1483","9823"
"WS22022_3","FL","2022","WaltonSmith","Upper_Keys","25.6445398333333","-80.0841821666667","2022-01-22","15:36:00","0","2091.912576106341216621","2407.894782324312443548","8.048272295421112","8.07730652912674","381.731305131329","3.57231497438633","35.20810481403552",,"35.11","23.41","0",,"3","Permanent","Single","1","17107","0","O","7090","3R","662","Walton Smith-Jan 2022","16228","2022-01-22","15:36:00","+00:00","9799","22813","2143.09972552078","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15152","2456.9","24.8","AS2","0","1360","2266.6","25.45","0","9","191","2225.5","33.316","3117","24.972","2.2044","9824"
"WS22022_4","FL","2022","WaltonSmith","Upper_Keys","25.335446","-80.2234916666667","2022-01-22","18:06:00","0","2115.68419080050153638","2416.444400908607730803","8.015213032052083","8.03944303799197","423.157516606692","3.38621233888787","36.10050725728569",,"36.023","23.453","0",,"EK_IN","Permanent","Single","1","17108","0","O","7091","4R","662","Walton Smith-Jan 2022","16229","2022-01-22","18:06:00","+00:00","9800","22814","2168.85877929459","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15153","2467.35","24.7","AS2","0","1360","2266.6","25.45","0","9","191","2225.5","33.316","3118","24.831","2.0588","9825"
"WS22022_5","FL","2022","WaltonSmith","Upper_Keys","25.3151621666667","-80.1954051666667","2022-01-22","18:23:00","0","2061.232714165420874435","2394.302867504413562291","8.062944378665069","8.07251128523956","379.656779468554","3.71942997045589","36.32023673131763",,"36.231","24.764","0",,"EK_MID","Permanent","Single","1","17109","0","O","7092","5R","662","Walton Smith-Jan 2022","16230","2022-01-22","18:23:00","+00:00","9801","22815","2113.43380251409","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15154","2444.85","25","AS2","0","1360","2266.6","25.45","0","9","191","2225.5","33.316","3119","24.792","2.2654","9826"
"WS22022_6","FL","2022","WaltonSmith","Upper_Keys","25.2949553333333","-80.1635271666667","2022-01-22","18:40:00","0","2061.386730471513491024","2393.330642604113221944","8.061166765915525","8.06796862085859","384.194004798402","3.71039061644586","36.34058100310782",,"36.221","24.941","0",,"EK_OFF","Permanent","Single","1","17110","0","O","7093","6R","662","Walton Smith-Jan 2022","16231","2022-01-22","18:40:00","+00:00","9802","22816","2113.623317685095","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15155","2444","24.85","AS2","0","1360","2266.6","25.45","0","9","191","2225.5","33.316","3120","24.765","2.2559","9827"
"WS22022_7","FL","2022","WaltonSmith","Upper_Keys","25.0488431666667","-80.2880086666667","2022-01-22","21:02:00","0","2034.915798627939714101","2390.244403695749778885","8.063608017411088","8.09757676624959","352.414380170237","3.97931016201475","36.03369273435204",,"35.974","25.654","0",,"6.5","Permanent","Single","1","17111","0","O","7094","7R","662","Walton Smith-Jan 2022","16232","2022-01-22","21:02:00","+00:00","9803","22817","2086.034887770165","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15156","2432.7","25.15","AS2","0","1361","2259.45","25.15","0","9","191","2225.5","33.316","3121","24.79","2.267","9828"
"WS22022_8","FL","2022","WaltonSmith","Upper_Keys","25.06385","-80.316051","2022-01-22","21:14:00","0","2067.064413811738997074","2413.219630288022056031","8.04279850306548","8.08790440844849","366.104171116807","3.86812041849225","36.31569288090869",,"36.228","24.898","0",,"6","Permanent","Single","1","17112","0","O","7095","8R","662","Walton Smith-Jan 2022","16233","2022-01-22","21:14:00","+00:00","9804","22818","2119.400342180825","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15157","2456.85","25","AS2","0","1361","2259.45","25.15","0","9","191","2225.5","33.316","3122","24.727","2.172","9829"
"WS22022_9","FL","2022","WaltonSmith","Upper_Keys","25.0796675","-80.3341978333333","2022-01-22","21:24:00","0","2084.36683322578688133","2405.277639325125955706","8.046572860056393","8.06041068438225","395.478770504351","3.58830776252986","36.34154295941637",,"36.222","24.159","0",,"5.5","Permanent","Single","1","17113","0","O","7096","9R","662","Walton Smith-Jan 2022","16234","2022-01-22","21:24:00","+00:00","9805","22819","2137.164656064825","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15158","2464.75","24.95","AS2","0","1362","2275.5","24.95","0","9","191","2225.5","33.316","3123","24.776","2.1914","9830"
"WS22022_10","FL","2022","WaltonSmith","Upper_Keys","25.0064996666667","-80.3716335","2022-01-22","22:14:00","0","2059.019930862715483663","2386.91939458134739273","8.06225756861158","8.06651921993919","385.186768466221","3.6644849556163","36.26163796585709",,"36.204","24.743","0",,"MR","Permanent","Single","1","17114","0","O","7097","10R","662","Walton Smith-Jan 2022","16235","2022-01-22","22:14:00","+00:00","9806","22820","2111.07581325179","25","UNSPECIFIED","0","1030","2098.7","25","0","9","191","2051.4","33.316","15159","2445.8","24.95","AS2","0","1362","2275.5","24.95","0","9","191","2225.5","33.316","3124","24.94","2.2705","9831"
