"","Sub_region","Zone","SiteID","Lat","Lon","number"
"1","BB","Inshore","1",25.6446141865942,-80.1225548061594,46
"2","BB","Inshore","EK_IN",25.3334176885965,-80.2219297763158,38
"3","BB","Mid channel","2",25.64159615625,-80.10525084625,40
"4","BB","Mid channel","EK_MID",25.3141586041667,-80.1947554050926,36
"5","BB","Offshore","3",25.6440444402174,-80.0831309655797,46
"6","BB","Offshore","EK_OFF",25.2955528220721,-80.1645815630631,37
"7","UK","Inshore","4",25.1080325952381,-80.3782458714286,35
"8","UK","Inshore","5",25.0934582361111,-80.3552329351852,36
"9","UK","Inshore","UK_IN",24.9347990115741,-80.5652158541667,36
"10","UK","Mid channel","5.5",25.079194377451,-80.3329748382353,34
"11","UK","Mid channel","UK_MID",24.9191096351351,-80.5463570405405,37
"12","UK","Offshore","6",25.0641894166667,-80.3146310972222,36
"13","UK","Offshore","MR",25.0057577872807,-80.3747109210526,38
"14","UK","Offshore","UK_OFF",24.8983703536036,-80.5296435698198,37
"15","UK","Oceanic","6.5",25.0493247162162,-80.2873186846847,37
"16","MK","Inshore","10",24.7859151937984,-80.8615506763566,43
"17","MK","Inshore","13",24.7007121117886,-81.0293309654472,41
"18","MK","Inshore","7",24.8169335796296,-80.754543337037,45
"19","MK","Mid channel","11",24.7534699108527,-80.8468303255814,43
"20","MK","Mid channel","14",24.6754567845528,-81.0237155711382,41
"21","MK","Mid channel","8",24.7923258777778,-80.7423095074074,45
"22","MK","Offshore","12",24.7139417751938,-80.8319524922481,44
"23","MK","Offshore","15",24.6437225731707,-81.0163575304878,41
"24","MK","Offshore","9",24.7628630259259,-80.7236221574074,45
"25","MK","Oceanic","15.5",24.5923250106838,-80.9896751517094,39
"26","MK","Oceanic","9.5",24.7170152727273,-80.6895555037879,44
"27","LK","Inshore","16",24.6717058240741,-81.2028934851852,45
"28","LK","Inshore","19",24.6084827907407,-81.4209679648148,45
"29","LK","Inshore","24",24.5363401805556,-81.8281409149306,48
"30","LK","Mid channel","17",24.6356257318768,-81.1938691322391,46
"31","LK","Mid channel","20",24.5706890833333,-81.4188839481481,45
"32","LK","Mid channel","23",24.4866423617021,-81.8280702890071,47
"33","LK","Offshore","18",24.5965502446809,-81.1832911861702,47
"34","LK","Offshore","21LK",24.5367688253968,-81.4142056468254,42
"35","LK","Offshore","22",24.4554404829545,-81.8286749261364,44
"36","LK","Offshore","WS",24.476082627193,-81.716064622807,38
"37","LK","Oceanic","21.5",24.482666746124,-81.3908765445736,43
"38","LK","Oceanic","22.5",24.397460719697,-81.8280488219697,44
