"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared"
"1","Biscayne","Inshore","(Intercept)",-10.2304768631441,4.27440986843715,-2.39342439729223,0.0195885115348698,0.702332725968533
"2","Biscayne","Inshore","dnDIC_MY",0.673495600086623,0.0543841289530665,12.3840468359409,9.20652161248423e-19,0.702332725968533
"3","Biscayne","Mid channel","(Intercept)",-3.87356586869375,1.76710814613213,-2.19203667708298,0.0320212222272844,0.412103128346751
"4","Biscayne","Mid channel","dnDIC_MY",0.419556761841013,0.0626395107224419,6.69795719989074,6.28559870097138e-09,0.412103128346751
"5","UK","Inshore","(Intercept)",-0.596745183721051,3.48312961542142,-0.171324426480997,0.864353286685504,0.772486742189922
"6","UK","Inshore","dnDIC_MY",0.628057520640097,0.0359282449537834,17.480885065441,1.1055775921766e-30,0.772486742189922
"7","UK","Mid channel","(Intercept)",0.919878356241805,1.78231585513515,0.516114107155295,0.607703664025614,0.22542992736093
"8","UK","Mid channel","dnDIC_MY",0.29276704607067,0.0706513973788332,4.14382527355902,0.000110578407941512,0.22542992736093
"9","MK","Inshore","(Intercept)",-11.0358347546723,4.42509554121227,-2.49392010904447,0.0141644273919797,0.804379303078771
"10","MK","Inshore","dnDIC_MY",0.919333135188877,0.0438286386950994,20.9756260417842,1.05494833919979e-39,0.804379303078771
"11","MK","Mid channel","(Intercept)",-5.27508621109593,2.65683824866743,-1.98547510889747,0.0496263216780578,0.716663991439085
"12","MK","Mid channel","dnDIC_MY",0.860459268956022,0.052060883404983,16.5279421454009,2.39504317257436e-31,0.716663991439085
"13","LK","Inshore","(Intercept)",-32.6280835900657,4.62207714657006,-7.05918195551502,1.39841470748652e-10,0.790563466571728
"14","LK","Inshore","dnDIC_MY",0.865973951256995,0.0417455563003189,20.7440989653401,1.66943553867392e-40,0.790563466571728
"15","LK","Mid channel","(Intercept)",-9.85464076874159,2.25232451514531,-4.37532012038053,2.80788500478155e-05,0.824842462428316
"16","LK","Mid channel","dnDIC_MY",0.891746141175584,0.0395419671946228,22.5518911789712,1.17587129353829e-42,0.824842462428316
