CTDID,Latitude,Longitude,SiteID,Sub_region,Zone,Lat,Lon,number,Lat_diff,Lon_diff
WS15264_20,24.7464033333333,-80.8325716666667,12,MK,Offshore,24.7139661707317,-80.8319652154472,42,0.032437162601596,0.000606451219539
WS16130_33,24.4510166666667,-81.3616583333333,21.5,LK,Oceanic,24.4825618313008,-81.3908906036585,41,0.031545164634114,0.029232270325238
WS16263_46,25.295112,-80.1636131666667,EK_IN,Biscayne,Inshore,25.3322680046296,-80.2202241898148,36,0.03715600462963,0.056611023148108
WS16263_48,25.3344936666667,-80.2209275,EK_OFF,Biscayne,Offshore,25.296555349537,-80.1660873333333,36,0.037938317129662,0.054840166666665
WS17282_27,24.5764316666667,-81.18004,18,LK,Offshore,24.5964650333333,-81.1833230907407,45,0.020033366666638,0.003283090740737
WS18120_26,24.41835,-81.4182166666667,20,LK,Mid channel,24.5705892367424,-81.4188897462121,44,0.152239236742421,0.000673079545422
WS18173_3,25.5815833333333,-80.0842833333333,3,Biscayne,Offshore,25.6438244526515,-80.0831776458333,44,0.062241119318216,0.001105687499972
WS20279_4,25.296306,-80.167265,EK_IN,Biscayne,Inshore,25.3322680046296,-80.2202241898148,36,0.035962004629628,0.052959189814814
WS20279_6,25.33453,-80.224402,EK_OFF,Biscayne,Offshore,25.296555349537,-80.1660873333333,36,0.037974650462964,0.058314666666661
WS21278_12,24.8700666666667,-80.54595,UK_MID,UK,Mid channel,24.9189795857143,-80.5462769333333,35,0.048912919047591,0.000326933333326
WS14335_19,24.59245,-80.91053,15.5,MK,Oceanic,24.5923060923423,-80.9895688536036,37,0.000143907657652,0.079038853603606
WS16319_40,25.11,-80.348,4,UK,Inshore,25.1080967892157,-80.3781864362745,34,0.00190321078431,0.030186436274519
WS17282_1,25.6445833333333,-80.0441666666667,1,Biscayne,Inshore,25.6445935056818,-80.1224239261364,44,1.02E-05,0.078257259469666
WS17282_2,25.6414166666667,-80.1401333333333,2,Biscayne,Mid channel,25.6415740679825,-80.1052731100877,38,0.000157401315754,0.034860223245573
WS18173_1,25.6463,-80.0830333333333,1,Biscayne,Inshore,25.6445935056818,-80.1224239261364,44,0.001706494318189,0.039390592803059
WS21093_15,24.747232,-80.899863,11,MK,Mid channel,24.7533032886179,-80.8481095609756,41,0.006071288617886,0.051753439024381
