"","Sub_region","Year","emmean","SE","df","lower.CL","upper.CL",".group"
"1","BB",2017.93396226415,420.654755485086,11.3990220545469,12.8531020540317,396.000024530375,445.309486439797," 12"
"2","UK",2017.93396226415,417.489867575905,11.246960404784,12.1821512049406,393.025422204695,441.954312947116," 12"
"3","MK",2017.93396226415,413.551295616689,11.2254249425338,12.0896032345776,389.113285524142,437.989305709235," 1 "
"4","LK",2017.93396226415,425.334719353547,11.1369296192078,11.7133349592328,401.003406408708,449.666032298387,"  2"
