"","Sub_region","Year","emmean","SE","df","lower.CL","upper.CL",".group"
"1","BB",2017.93396226415,3.7528807491201,0.0380914236635381,16.5163104795223,3.67233521024956,3.83342628799063,"  2"
"2","UK",2017.93396226415,3.772389946177,0.0368270194526878,14.441524054636,3.69362979870709,3.85115009364691,"  2"
"3","MK",2017.93396226415,3.76992932016865,0.0366463469035023,14.1647575217578,3.69141640550157,3.84844223483572,"  2"
"4","LK",2017.93396226415,3.69079523256632,0.0358960008673697,13.0436228863366,3.61327299310024,3.7683174720324," 1 "
