"","Sub_region","2010","2011","2012","2014","2015","2016","2017","2018","2019","2020","2021"
"1","Biscayne",4,14,3,6,30,36,30,35,24,24,30
"2","UK",7,19,3,8,45,51,42,45,30,31,39
"3","MK",15,51,9,11,55,66,55,56,44,44,55
"4","LK",18,61,9,11,58,72,60,78,54,46,58
