"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared"
"1","Biscayne","Inshore","(Intercept)",-12.0943602899916,4.22051374569003,-2.86561329230174,0.00560131517161989,0.713569059515455
"2","Biscayne","Inshore","dnDIC_MY",0.670206041244118,0.0526676109816413,12.7252029995767,2.61623931206483e-19,0.713569059515455
"3","Biscayne","Mid channel","(Intercept)",-4.92858210261682,1.77564738283404,-2.77565362935433,0.00736932258389724,0.420006176331093
"4","Biscayne","Mid channel","dnDIC_MY",0.406349001353286,0.062166588721154,6.53645325748771,1.63942039465983e-08,0.420006176331093
"5","UK","Inshore","(Intercept)",-0.872210675041357,3.98367435122763,-0.218946278772152,0.827229395303226,0.740711589448017
"6","UK","Inshore","dnDIC_MY",0.624584874385996,0.0405620036057499,15.3982747118897,4.74784208359556e-26,0.740711589448017
"7","UK","Mid channel","(Intercept)",1.17048724044489,1.92723937232986,0.607338796233638,0.546081002193576,0.206769159959014
"8","UK","Mid channel","dnDIC_MY",0.281151758449729,0.0735874416332409,3.8206486352792,0.00033589033159512,0.206769159959014
"9","MK","Inshore","(Intercept)",-9.87930737160182,4.64704321135389,-2.12593404499967,0.0358757164627338,0.814729499330914
"10","MK","Inshore","dnDIC_MY",0.971735927675922,0.045438920719331,21.3855415642061,7.27565612714371e-40,0.814729499330914
"11","MK","Mid channel","(Intercept)",-5.38944763695825,2.96843229752579,-1.81558718433646,0.0723432082716415,0.712750897482298
"12","MK","Mid channel","dnDIC_MY",0.885766806297476,0.0554065670875926,15.9866754584734,1.16592051655421e-29,0.712750897482298
"13","LK","Inshore","(Intercept)",-32.4749077543602,4.68644554289059,-6.92953912664688,2.83100210719758e-10,0.771710518146744
"14","LK","Inshore","dnDIC_MY",0.901056903848197,0.0463083117825657,19.4577791580696,1.01560559857828e-37,0.771710518146744
"15","LK","Mid channel","(Intercept)",-8.77153207104754,2.38854952192264,-3.67232581553802,0.000371385779787363,0.806025856975868
"16","LK","Mid channel","dnDIC_MY",0.963266381653606,0.0448520552061587,21.4765271563596,2.47735953961802e-41,0.806025856975868
