"","Sub_region","2010","2011","2012","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1","BB",4,11,3,6,30,36,30,35,24,24,37,12
"2","UK",7,15,3,8,45,51,42,44,30,31,45,16
"3","MK",15,39,9,11,55,66,53,56,43,44,64,22
"4","LK",18,51,9,11,58,72,59,76,53,45,70,24
