"Zone","Sub_region","Season","dTA_mean","dTA_sd","dnTA_mean","dnTA_sd","dDIC_mean","dDIC_sd","dnDIC_mean","dnDIC_sd","dpCO2_mean","dpCO2_sd","dpH_mean","dpH_sd","dAra_mean","dAra_sd","n()"
"Offshore","UK","Spring",-1.958,14.079,-0.896,14.339,-1.414,-1.414,-0.507,9.917,-0.487,21.522,0,0,-0.007,-0.007,28
"Offshore","UK","Summer",-5.398,11.556,-20.405,27.355,-3.278,-3.278,-16.767,24.567,10.457,18.759,-0.01,-0.01,-0.03,-0.03,28
"Offshore","UK","Fall",-1.478,11.516,0.327,19.812,2.354,2.354,3.892,20.844,2.151,18.179,-0.002,-0.002,-0.045,-0.045,30
"Offshore","MK","Winter",4.594,11.431,5.1,18.305,7.947,7.947,8.391,15.424,-1.777,13.259,0.003,0.003,-0.044,-0.044,27
"Offshore","MK","Spring",-7.457,31.3,-5.347,26.764,-13.64,-13.64,-11.768,25.515,-13.562,21.515,0.011,0.011,0.061,0.061,33
"Offshore","MK","Summer",-21.526,26.38,-33.699,43.001,-17.565,-17.565,-28.939,40.708,4.106,19.926,-0.007,-0.007,-0.063,-0.063,30
"Offshore","MK","Fall",-1.226,9.336,4.058,27.116,0.495,0.495,4.997,21.847,-1.728,14.467,0.002,0.002,-0.02,-0.02,37
"Offshore","LK","Winter",1.967,7.433,5.185,15.582,7.404,7.404,9.862,15.527,2.021,16.937,-0.001,-0.001,-0.068,-0.068,38
"Offshore","LK","Spring",-11.462,16.423,-13.017,15.494,-6.054,-6.054,-7.417,23.582,7.083,31.51,-0.008,-0.008,-0.063,-0.063,42
"Offshore","LK","Summer",-10.336,17.766,-24.852,33.247,0.403,0.403,-12.722,24.28,21.332,28.345,-0.018,-0.018,-0.145,-0.145,40
"Offshore","LK","Fall",-3.336,6.656,-2.89,27.875,1.479,1.479,1.872,21.46,3.87,18.028,-0.003,-0.003,-0.058,-0.058,48
