"CTDID","Region","Year","Mission","Location","Latitude","Longitude","UTCDate","UTCTime","Sample_Depth_m","DIC_umol_kg","TA_umol_kg","pH_measured","pH_calculated","pCO2_uatm","Aragonite_Sat_W","Salinity_Bottle","Conductivity_Sm","Salinity_CTD","Temperature_C","Pressure_db","Density_Sigmat","SiteID","Survey_design","Sample_frequency","ncrmp_flag","bottle_id","source_code","sample_num","bottle_name","deployment_id","project_code","collection_id","collected_date","collected_time","collected_timezone","density_id","dic_id","calc_avg_dic","dic_temp","dic_machine","dic_kg_flag","calibration_dic_id","calc_avg_crm_init_dic","crm_init_dic_temp","calibration_dic_kg_flag","dic_crm_id","dic_crm_batch","dic_crm_dic","dic_crm_salinity","ta_id","calc_avg_ta","calc_avg_ta_temp","ta_machine","ta_kg_flag","calibration_ta_id","calc_avg_crm_ta","calc_avg_crm_ta_temp","calibration_ta_kg_flag","ta_crm_id","ta_crm_batch","ta_crm_ta","ta_crm_salinity","spec_ph_id","spec_ph_temp","rm_factor","seacarb_id","UTCDate_Time","datetime","ESTDate","ESTTime","Month","Months","MY","MoY","ToD","Season","Precipitation","dec.lon","dec.lat","Zone","Sub_region","Reference","Transect","Extreme","BestSalinity","n35TA","n35DIC","TA_0","DIC_0","nTA","nDIC","Date","Problem"
"WS11214_6","FL",2011,"WaltonSmith","Middle_Keys",24.8214,-80.7566,2011-08-03,"2:11:00",0,1872.63,2284.86,NA,8.08513932023102,333.984182643343,4.59111866845524,NA,NA,37.2745,32.168,0,NA,"7","Permanent","Single",1,10295,"E",1304,"6",517,"Walton Smith",9495,"8/3/2011","2:11:00","+00:00",NA,17377,1845.5,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9333,2265.5,NA,"Langdonometer",1,655,2203.25,NA,1,18,104,2222.61,33.3,NA,NA,NA,4725,2011-08-03 02:11:00,2011-08-02 21:11:00,2011-08-02,"21:11:00","Aug","August","2011-08",8,21.1833333333333,"Summer","Wet",-80.75666667,24.82083333,"Inshore","MK","MK_5","T1","HighOmega_NoReason",37.2745,2206.26397975436,1808.21412095594,2111.55975298223,1786.67657836499,2278.89871146452,1869.67332131202,2011-08-02,"omega"
"WS11214_7","FL",2011,"WaltonSmith","Middle_Keys",24.7933166666667,-80.7420333333333,2011-08-03,"2:31:00",0,1960.92,2389.36,NA,8.11985012000894,321.179488684512,4.88561765967421,NA,NA,36.135,31.052,0,NA,"8","Permanent","Single",1,10297,"E",1306,"7",517,"Walton Smith",9497,"8/3/2011","2:31:00","+00:00",NA,17378,1933.79,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9334,2367.4,NA,"Langdonometer",1,656,2200.65,NA,1,18,104,2222.61,33.3,NA,NA,NA,4726,2011-08-03 02:31:00,2011-08-02 21:31:00,2011-08-02,"21:31:00","Aug","August","2011-08",8,21.5166666666667,"Summer","Wet",-80.74166667,24.7925,"Mid channel","MK","MK_5","T1","HighOmega_NoReason",36.135,2379.92480930569,1953.17664858528,2111.55975298223,1786.67657836499,2388.26301239431,1960.2319413105,2011-08-02,"omega"
"WS11214_8","FL",2011,"WaltonSmith","Middle_Keys",24.7657333333333,-80.7243166666667,2011-08-03,"3:10:00",0,1987.49,2408.71,NA,8.12291957173228,324.344343657643,4.85613764874322,NA,NA,35.411,30.572,0,NA,"9","Permanent","Single",1,10298,"E",1307,"8",517,"Walton Smith",9498,"8/3/2011","3:10:00","+00:00",NA,17379,1960.36,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9335,2386.75,NA,"Langdonometer",1,656,2200.65,NA,1,18,104,2222.61,33.3,NA,NA,NA,4727,2011-08-03 03:10:00,2011-08-02 22:10:00,2011-08-02,"22:10:00","Aug","August","2011-08",8,22.1666666666667,"Summer","Wet",-80.72333333,24.76333333,"Offshore","MK","MK_5","T1","HighOmega_NoReason",35.411,2448.25150828226,2020.11673891665,2111.55975298223,1786.67657836499,2413.58803386606,1990.78656354429,2011-08-02,"omega"
"WS11214_9","FL",2011,"WaltonSmith","Middle_Keys",24.7190833333333,-80.6890833333333,2011-08-03,"3:59:00",0,1983.17,2398.66,NA,8.11937722999576,326.03664535989,4.75361157201009,NA,NA,35.7286666666667,30.134,0,NA,"9.5","Permanent","Single",1,10299,"E",1308,"9",517,"Walton Smith",9499,"8/3/2011","3:59:00","+00:00",NA,17380,1956.04,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9336,2376.7,NA,"Langdonometer",1,656,2200.65,NA,1,18,104,2222.61,33.3,NA,NA,NA,4728,2011-08-03 03:59:00,2011-08-02 22:59:00,2011-08-02,"22:59:00","Aug","August","2011-08",8,22.9833333333333,"Summer","Wet",-80.69,24.71666667,"Oceanic","MK","MK_5","T1","HighOmega_NoReason",35.7286666666667,2416.35973325483,1997.80382888737,2111.55975298223,1786.67657836499,2400.77851525002,1984.61992668793,2011-08-02,"omega"
"WS11214_10","FL",2011,"WaltonSmith","Middle_Keys",24.7890833333333,-80.8606833333333,2011-08-03,"6:00:00",0,1845.84,2270.21,NA,8.13055691415307,293.509026070702,4.73866485401108,NA,NA,36.3306666666667,31.24467,0,NA,"10","Permanent","Single",1,10316,"E",1325,"10",517,"Walton Smith",9516,"8/3/2011","6:00:00","+00:00",NA,17384,1818.71,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9351,2251.25,22.05,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4732,2011-08-03 06:00:00,2011-08-03 01:00:00,2011-08-03,"01:00:00","Aug","August","2011-08",8,1,"Summer","Wet",-80.86,24.78833333,"Inshore","MK","MK_6","T2","HighOmega_NoReason",36.3306666666667,2249.0668871821,1828.64916595214,2111.55975298223,1786.67657836499,2268.73244502875,1845.2889941907,2011-08-03,"omega"
"WS11214_11","FL",2011,"WaltonSmith","Middle_Keys",24.7539166666667,-80.8469833333333,2011-08-03,"6:30:00",0,1964.17,2394.51,NA,8.12593781342565,316.935146494332,4.91812475812274,NA,NA,35.946,30.917,0,NA,"11","Permanent","Single",1,10317,"E",1326,"11",517,"Walton Smith",9517,"8/3/2011","6:30:00","+00:00",NA,17385,1937.04,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9352,2375.55,22.15,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4733,2011-08-03 06:30:00,2011-08-03 01:30:00,2011-08-03,"01:30:00","Aug","August","2011-08",8,1.5,"Summer","Wet",-80.84666667,24.75333333,"Mid channel","MK","MK_6","T2","HighOmega_NoReason",35.946,2397.59481930244,1966.70041730011,2111.55975298223,1786.67657836499,2394.87452150278,1964.39866270474,2011-08-03,"omega"
"WS11214_12","FL",2011,"WaltonSmith","Middle_Keys",24.7144666666667,-80.8313666666667,2011-08-03,"6:58:00",0,1989.2,2410.11,NA,8.12269377106864,324.687640855496,4.84718667275922,NA,NA,35.475,30.489,0,NA,"12","Permanent","Single",1,10318,"E",1327,"12",517,"Walton Smith",9518,"8/3/2011","6:58:00","+00:00",NA,17386,1962.07,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9353,2391.15,22.1,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4734,2011-08-03 06:58:00,2011-08-03 01:58:00,2011-08-03,"01:58:00","Aug","August","2011-08",8,1.96666666666667,"Summer","Wet",-80.83166667,24.71333333,"Offshore","MK","MK_6","T2","HighOmega_NoReason",35.475,2445.25506390756,2018.20720760667,2111.55975298223,1786.67657836499,2414.46356374234,1992.15326711069,2011-08-03,"omega"
"WS11214_13","FL",2011,"WaltonSmith","Middle_Keys",24.70135,-81.0291,2011-08-03,"8:25:00",0,1896.36,2306.71,NA,8.09227317475056,332.786332644835,4.60491984860695,NA,NA,36.8,31.645,0,NA,"13","Permanent","Single",1,10319,"E",1328,"13",517,"Walton Smith",9519,"8/3/2011","8:25:00","+00:00",NA,17387,1869.23,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9354,2287.75,22.15,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4735,2011-08-03 08:25:00,2011-08-03 03:25:00,2011-08-03,"03:25:00","Aug","August","2011-08",8,3.41666666666667,"Summer","Wet",-81.03,24.70166667,"Inshore","MK","MK_7","T3","HighOmega_NoReason",36.8,2256.082028829,1854.7384440134,2111.55975298223,1786.67657836499,2302.42681699042,1893.95265399271,2011-08-03,"omega"
"WS11214_14","FL",2011,"WaltonSmith","Middle_Keys",24.6759333333333,-81.0236333333333,2011-08-03,"8:41:00",0,1950.6,2373.61,NA,8.11341620153179,324.794417744622,4.81107682580216,NA,NA,36.227,31.094,0,NA,"14","Permanent","Single",1,10320,"E",1329,"14",517,"Walton Smith",9520,"8/3/2011","8:41:00","+00:00",NA,17388,1923.47,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9355,2354.65,22.35,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4736,2011-08-03 08:41:00,2011-08-03 03:41:00,2011-08-03,"03:41:00","Aug","August","2011-08",8,3.68333333333333,"Summer","Wet",-81.02333333,24.675,"Mid channel","MK","MK_7","T3","HighOmega_NoReason",36.227,2358.2329235229,1937.96333038021,2111.55975298223,1786.67657836499,2371.91234676748,1949.53804669222,2011-08-03,"omega"
"WS11214_15","FL",2011,"WaltonSmith","Middle_Keys",24.64465,-81.0170666666667,2011-08-03,"8:55:00",0,1991.25,2407.01,NA,8.11833636045018,328.478812704453,4.77229550682775,NA,NA,35.621,30.221,0,NA,"15","Permanent","Single",1,10321,"E",1330,"15",517,"Walton Smith",9521,"8/3/2011","8:55:00","+00:00",NA,17389,1964.12,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9356,2388.05,22.4,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4737,2011-08-03 08:55:00,2011-08-03 03:55:00,2011-08-03,"03:55:00","Aug","August","2011-08",8,3.91666666666667,"Summer","Wet",-81.01666667,24.64333333,"Offshore","MK","MK_7","T3","HighOmega_NoReason",35.621,2432.1003687376,2012.00653892121,2111.55975298223,1786.67657836499,2410.08973612128,1993.38244755225,2011-08-03,"omega"
"WS11214_16","FL",2011,"WaltonSmith","Middle_Keys",24.5926833333333,-80.9921833333333,2011-08-03,"9:20:00",0,1994.79,2405.81,NA,8.11200951036673,334.280334202592,4.70771476033564,NA,NA,35.771,30.093,0,NA,"15.5","Permanent","Single",1,10322,"E",1331,"16",517,"Walton Smith",9522,"8/3/2011","9:20:00","+00:00",NA,17390,1967.66,NA,"SOMMA",1,609,1992.97,NA,1,18,104,2020.1,33.3,9357,2386.85,22.4,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4738,2011-08-03 09:20:00,2011-08-03 04:20:00,2011-08-03,"04:20:00","Aug","August","2011-08",8,4.33333333333333,"Summer","Wet",-80.99166667,24.59166667,"Oceanic","MK","MK_7","T3","HighOmega_NoReason",35.771,2420.6943184207,2007.13141081068,2111.55975298223,1786.67657836499,2407.63047392437,1996.07756071146,2011-08-03,"omega"
"WS11214_17","FL",2011,"WaltonSmith","Middle_Keys",24.5993,-81.1815166666667,2011-08-03,"11:18:00",0,1962.145,2358.26,NA,8.09802493682784,341.492109549238,4.53242822719462,NA,NA,35.5863333333333,30.324,0,NA,"18","Permanent","Single",1,10323,"E",1332,"17",517,"Walton Smith",9523,"8/3/2011","11:18:00","+00:00",NA,17391,1936.8,NA,"SOMMA",1,610,1994.755,NA,1,18,104,2020.1,33.3,9358,2339.3,22.5,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4739,2011-08-03 11:18:00,2011-08-03 06:18:00,2011-08-03,"06:18:00","Aug","August","2011-08",8,6.3,"Summer","Wet",-81.18333333,24.59833333,"Offshore","LK","LK_8","T1","HighOmega_NoReason",35.5863333333333,2385.16346669205,1984.52951343468,2111.55975298223,1786.67657836499,2361.07440209246,1964.14677624052,2011-08-03,"omega"
"WS11214_18","FL",2011,"WaltonSmith","Middle_Keys",24.6360833333333,-81.1936833333333,2011-08-03,"11:53:00",0,1962.195,2377.26,NA,8.12001522998065,322.382871975542,4.75284847519363,NA,NA,35.559,30.44233,0,NA,"17","Permanent","Single",1,10324,"E",1333,"18",517,"Walton Smith",9524,"8/3/2011","11:53:00","+00:00",NA,17392,1936.85,NA,"SOMMA",1,610,1994.755,NA,1,18,104,2020.1,33.3,9359,2358.3,22.5,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4740,2011-08-03 11:53:00,2011-08-03 06:53:00,2011-08-03,"06:53:00","Aug","August","2011-08",8,6.88333333333333,"Summer","Wet",-81.19333333,24.635,"Mid channel","LK","LK_8","T1","HighOmega_NoReason",35.559,2406.22841046232,1986.10558200076,2111.55975298223,1786.67657836499,2380.49772486625,1964.33380252123,2011-08-03,"omega"
"WS11214_19","FL",2011,"WaltonSmith","Middle_Keys",24.6714333333333,-81.2036,2011-08-03,"12:24:00",0,1779.175,2163.01,NA,8.07550812818779,325.372727646878,4.17938098988975,NA,NA,37.3526666666667,31.48833,0,NA,"16","Permanent","Single",1,10325,"E",1334,"19",517,"Walton Smith",9525,"8/3/2011","12:24:00","+00:00",NA,17393,1753.83,NA,"SOMMA",1,610,1994.755,NA,1,18,104,2020.1,33.3,9360,2144.05,22.4,"Langdonometer",1,658,2203.65,21.45,1,18,104,2222.61,33.3,NA,NA,NA,4741,2011-08-03 12:24:00,2011-08-03 07:24:00,2011-08-03,"07:24:00","Aug","August","2011-08",8,7.4,"Summer","Wet",-81.205,24.675,"Inshore","LK","LK_8","T1","HighOmega_NoReason",37.3526666666667,2084.23469679673,1714.37869758962,2111.55975298223,1786.67657836499,2161.13621818267,1779.44820220905,2011-08-03,"omega"
"WS11214_20","FL",2011,"WaltonSmith","Lower_Keys",24.6108833333333,-81.4225333333333,2011-08-03,"15:05:00",0,1825.545,2202.61,NA,8.07469286046581,336.516491198683,4.2026969368263,NA,NA,36.2553333333333,31.29267,0,NA,"19","Permanent","Single",1,10327,"E",1336,"20",517,"Walton Smith",9527,"8/3/2011","15:05:00","+00:00",NA,17394,1800.2,NA,"SOMMA",1,610,1994.755,NA,1,18,104,2020.1,33.3,9361,2186.3,22.1,"Langdonometer",1,659,2206.3,21.75,1,18,104,2222.61,33.3,NA,NA,NA,4742,2011-08-03 15:05:00,2011-08-03 10:05:00,2011-08-03,"10:05:00","Aug","August","2011-08",8,10.0833333333333,"Summer","Wet",-81.42166667,24.61,"Inshore","LK","LK_9","T2","HighOmega_NoReason",36.2553333333333,2186.63054576407,1812.30106994287,2111.55975298223,1786.67657836499,2201.94945035418,1825.26301809456,2011-08-03,"omega"
"WS11214_21","FL",2011,"WaltonSmith","Lower_Keys",24.5364166666667,-81.4112166666667,2011-08-03,"16:32:00",0,1988.605,2399.56,NA,8.10596069328768,338.762547830035,4.72321564391706,NA,NA,35.695,30.622,0,NA,"21LK","Permanent","Single",1,10328,"E",1337,"22",517,"Walton Smith",9528,"8/3/2011","16:32:00","+00:00",NA,17395,1963.26,NA,"SOMMA",1,610,1994.755,NA,1,18,104,2020.1,33.3,9362,2383.25,22.2,"Langdonometer",1,659,2206.3,21.75,1,18,104,2222.61,33.3,NA,NA,NA,4743,2011-08-03 16:32:00,2011-08-03 11:32:00,2011-08-03,"11:32:00","Aug","August","2011-08",8,11.5333333333333,"Summer","Wet",-81.42,24.54,"Offshore","LK","LK_9","T2","HighOmega_NoReason",35.695,2419.54628194842,2005.16837837522,2111.55975298223,1786.67657836499,2401.95879567009,1990.2868910001,2011-08-03,"omega"
"WS11214_22","FL",2011,"WaltonSmith","Lower_Keys",24.4842833333333,-81.38937,2011-08-03,"17:14:00",0,1979.375,2392.46,NA,8.10925479879366,334.181832307272,4.73788394906068,NA,NA,35.7446666666667,30.64067,0,NA,"21.5","Permanent","Single",1,10329,"E",1338,"23",517,"Walton Smith",9529,"8/3/2011","17:14:00","+00:00",NA,17396,1954.03,NA,"SOMMA",1,610,1994.755,NA,1,18,104,2020.1,33.3,9363,2376.15,22.25,"Langdonometer",1,659,2206.3,21.75,1,18,104,2222.61,33.3,NA,NA,NA,4744,2011-08-03 17:14:00,2011-08-03 12:14:00,2011-08-03,"12:14:00","Aug","August","2011-08",8,12.2333333333333,"Summer","Wet",-81.39166667,24.48333333,"Oceanic","LK","LK_9","T2","HighOmega_NoReason",35.7446666666667,2409.03517004625,1993.08828139668,2111.55975298223,1786.67657836499,2394.40610123486,1980.7100313511,2011-08-03,"omega"
