"","Region","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","DRTO","(Intercept)",2381.09916272884,26.7539669782493,88.9998542894461,9.65382553821037e-151,0.000131443571766961,-0.0054233817417233,17.4778101033717,0.0236629532611483,0.877917939341487,1,-777.930916920081,1561.86183384016,1571.47385390139,54985.292281714,180,182
"2","DRTO","BestSalinity",0.115885333048924,0.753345156315961,0.153827673911957,0.877917939341448,0.000131443571766961,-0.0054233817417233,17.4778101033717,0.0236629532611483,0.877917939341487,1,-777.930916920081,1561.86183384016,1571.47385390139,54985.292281714,180,182
"3","FGB","(Intercept)",1991.81301332128,48.2389397872625,41.2905636422635,7.59812215277825e-53,0.489042837951349,0.482138011437178,14.4964841112924,70.8262310353017,2.11653991363381e-12,1,-310.04280214998,626.08560429996,633.077804320819,15550.9558175824,74,76
"4","FGB","BestSalinity",11.2810339772154,1.3404537727909,8.41583216534775,2.11653991363374e-12,0.489042837951349,0.482138011437178,14.4964841112924,70.8262310353017,2.11653991363381e-12,1,-310.04280214998,626.08560429996,633.077804320819,15550.9558175824,74,76
"5","FLK","(Intercept)",2465.11367261551,83.7314568473564,29.4407115967115,4.42720275117808e-146,0.00112451161694078,0.000348384586340234,67.0338922163968,1.44887572859109,0.228929784061795,1,-7248.51166000795,14503.0233200159,14518.5081860247,5783189.46220952,1287,1289
"6","FLK","BestSalinity",-2.79635183709889,2.32314461239442,-1.20369253906099,0.228929784061796,0.00112451161694078,0.000348384586340234,67.0338922163968,1.44887572859109,0.228929784061795,1,-7248.51166000795,14503.0233200159,14518.5081860247,5783189.46220952,1287,1289
"7","GOM","(Intercept)",4424.27724263859,260.659100334515,16.9734232833641,1.70611061648395e-42,0.181057473546691,0.177512267804469,231.305332751781,51.0710764654255,1.15735577211748e-11,1,-1597.9994611887,3201.9989223774,3212.3520377381,12358998.2576242,231,233
"8","GOM","BestSalinity",-53.27130631044,7.45428238281907,-7.14640304386938,1.15735577211748e-11,0.181057473546691,0.177512267804469,231.305332751781,51.0710764654255,1.15735577211748e-11,1,-1597.9994611887,3201.9989223774,3212.3520377381,12358998.2576242,231,233
"9","PR","(Intercept)",2001.00802427718,53.9730007438898,37.0742407629375,2.33050405186206e-85,0.174382659600824,0.169718154852807,30.1378162645493,37.3850320711805,6.0352322060206e-09,1,-862.619120899842,1731.23824179968,1740.80039921721,160766.970547644,177,179
"10","PR","BestSalinity",9.55176442661028,1.56219313225488,6.11433005906458,6.03523220602012e-09,0.174382659600824,0.169718154852807,30.1378162645493,37.3850320711805,6.0352322060206e-09,1,-862.619120899842,1731.23824179968,1740.80039921721,160766.970547644,177,179
"11","SEFCRI","(Intercept)",3756.45704413233,53.4140128140836,70.3271828163764,1.79232538644177e-48,0.933292575681344,0.931842414283112,9.98803371613818,643.578416043493,1.09283267420803e-28,1,-177.554230755443,361.108461510885,366.722064543609,4588.9976056768,46,48
"12","SEFCRI","BestSalinity",-38.2259346880324,1.50680612940062,-25.3688473534667,1.09283267420803e-28,0.933292575681344,0.931842414283112,9.98803371613818,643.578416043493,1.09283267420803e-28,1,-177.554230755443,361.108461510885,366.722064543609,4588.9976056768,46,48
"13","STX","(Intercept)",1061.40543263181,52.955029520773,20.0435245195256,9.93266277734545e-42,0.817897818416558,0.816507725427371,9.59567089773216,588.376335093348,2.72925597337143e-50,1,-488.465732347906,982.931464695813,991.602512080478,12062.0738970635,131,133
"14","STX","BestSalinity",36.0078731825784,1.4844646907264,24.2564699635654,2.72925597337073e-50,0.817897818416558,0.816507725427371,9.59567089773216,588.376335093348,2.72925597337143e-50,1,-488.465732347906,982.931464695813,991.602512080478,12062.0738970635,131,133
"15","USVI","(Intercept)",1883.86431617678,97.1491128468305,19.3914721501056,1.54832364248816e-46,0.0996032899371499,0.0947624474099302,30.583344790455,20.5756104184529,1.02558947639841e-05,1,-908.800734768125,1823.60146953625,1833.31079542474,173973.422014364,186,188
"16","USVI","BestSalinity",12.5143670360636,2.75887817877017,4.53603465798631,1.02558947639835e-05,0.0996032899371499,0.0947624474099302,30.583344790455,20.5756104184529,1.02558947639841e-05,1,-908.800734768125,1823.60146953625,1833.31079542474,173973.422014364,186,188
