"","Mission","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","Derek’s","UK","Inshore","(Intercept)",1152.16287711332,108.876269329611,10.5823140727322,1.60913061784621e-10,0.831534286824877,0.824514882109247,32.1040009626551,118.462223010635,9.16609492253391e-11,1,-126.045343900269,258.090687800538,261.864977414602,24736.0050674438,24,26
"2","Derek’s","UK","Inshore","nDIC",0.595355559833878,0.0546998927276916,10.8840352356392,9.16609492253391e-11,0.831534286824877,0.824514882109247,32.1040009626551,118.462223010635,9.16609492253391e-11,1,-126.045343900269,258.090687800538,261.864977414602,24736.0050674438,24,26
"3","Derek’s","UK","Offshore","(Intercept)",1332.18359374245,578.182727496873,2.30408749758034,0.0359391764672277,0.185319974528779,0.131007972830697,34.2851564024415,3.41213670523444,0.0845379329786128,1,-83.1481808928706,172.296361785741,174.79600181791,17632.0792430982,15,17
"4","Derek’s","UK","Offshore","nDIC",0.513219067395997,0.277836674309594,1.84719698603977,0.0845379329786135,0.185319974528779,0.131007972830697,34.2851564024415,3.41213670523444,0.0845379329786128,1,-83.1481808928706,172.296361785741,174.79600181791,17632.0792430982,15,17
"5","Derek’s","MK","Inshore","(Intercept)",877.439929187959,116.23949992559,7.54855216814978,0.000280442264907679,0.96337185313046,0.957267161985537,20.8337697789043,157.808450953594,1.55722807704849e-05,1,-34.493381713768,74.986763427536,75.2250880525755,2604.27577920231,6,8
"6","Derek’s","MK","Inshore","nDIC",0.723248443086016,0.057573466485837,12.562183367297,1.55722807704847e-05,0.96337185313046,0.957267161985537,20.8337697789043,157.808450953594,1.55722807704849e-05,1,-34.493381713768,74.986763427536,75.2250880525755,2604.27577920231,6,8
"7","Derek’s","MK","Offshore","(Intercept)",709.193309449386,100.50522840754,7.05628274952691,0.000201266251983611,0.974429141256284,0.970776161435753,10.6873006980622,266.749116920846,7.85970731220517e-07,1,-32.9610375451682,71.9220750903363,72.513748822345,799.528773475599,7,9
"8","Derek’s","MK","Offshore","nDIC",0.813414614122212,0.049803570098702,16.3324559365958,7.85970731220525e-07,0.974429141256284,0.970776161435753,10.6873006980622,266.749116920846,7.85970731220517e-07,1,-32.9610375451682,71.9220750903363,72.513748822345,799.528773475599,7,9
"9","Derek’s","LK","Inshore","(Intercept)",757.263914944854,75.34285905922,10.0509049483991,7.02707623685337e-07,0.973280619448542,0.970851584852955,17.920614099546,400.686190808784,5.29541309999166e-10,1,-54.8777211681476,115.755442336295,117.45029040868,3532.63250675332,11,13
"10","Derek’s","LK","Inshore","nDIC",0.771742648004962,0.0385540772536938,20.0171474193698,5.29541309999166e-10,0.973280619448542,0.970851584852955,17.920614099546,400.686190808784,5.29541309999166e-10,1,-54.8777211681476,115.755442336295,117.45029040868,3532.63250675332,11,13
"11","Derek’s","LK","Offshore","(Intercept)",736.032111001786,216.594219566413,3.3982075443897,0.00938531157548877,0.872768601419689,0.85686467659715,28.2910725118399,54.8775608007661,7.5618950116092e-05,1,-46.4991305348353,98.9982610696707,99.9060163486528,6403.07827096147,8,10
"12","Derek’s","LK","Offshore","nDIC",0.798633414141512,0.107807773521319,7.40793903867777,7.56189501160918e-05,0.872768601419689,0.85686467659715,28.2910725118399,54.8775608007661,7.5618950116092e-05,1,-46.4991305348353,98.9982610696707,99.9060163486528,6403.07827096147,8,10
"13","WaltonSmith","Biscayne","Inshore","(Intercept)",776.904982375943,102.337166976974,7.59162096553588,1.3108593918693e-10,0.784534662570244,0.781318762011591,33.2665922315702,243.954888610994,5.08636134987355e-24,1,-338.706182092706,683.412364185413,690.114683699204,74146.632633005,67,69
"14","WaltonSmith","Biscayne","Inshore","nDIC",0.770141811550841,0.0493078356230381,15.6190553046909,5.08636134987358e-24,0.784534662570244,0.781318762011591,33.2665922315702,243.954888610994,5.08636134987355e-24,1,-338.706182092706,683.412364185413,690.114683699204,74146.632633005,67,69
"15","WaltonSmith","Biscayne","Mid channel","(Intercept)",1244.64306282647,119.856442610153,10.3844485596391,6.13972193404564e-15,0.605517940740346,0.598831804142725,15.3562919303323,90.5632022169236,1.59180500269917e-13,1,-252.161532262489,510.323064524978,516.655686117498,13913.1264091258,59,61
"16","WaltonSmith","Biscayne","Mid channel","nDIC",0.548418505309478,0.0576283540445993,9.51647005022996,1.59180500269912e-13,0.605517940740346,0.598831804142725,15.3562919303323,90.5632022169236,1.59180500269917e-13,1,-252.161532262489,510.323064524978,516.655686117498,13913.1264091258,59,61
"17","WaltonSmith","Biscayne","Offshore","(Intercept)",1623.28894394285,129.429379230787,12.5418892803955,3.03725891789376e-19,0.34304316047949,0.333237834516497,14.5903232965541,34.9853907737697,1.24668794953181e-07,1,-281.836717705062,569.673435410123,576.375754923915,14262.794771164,67,69
"18","WaltonSmith","Biscayne","Offshore","nDIC",0.368528365854244,0.0623056680294614,5.91484494925862,1.24668794953163e-07,0.34304316047949,0.333237834516497,14.5903232965541,34.9853907737697,1.24668794953181e-07,1,-281.836717705062,569.673435410123,576.375754923915,14262.794771164,67,69
"19","WaltonSmith","UK","Inshore","(Intercept)",1031.29587793927,72.990157999954,14.1292457257035,5.57060276630076e-25,0.786927399139682,0.784660669343296,35.7548153750695,347.164183571509,2.54586117985002e-33,1,-478.5692913102,963.138582620399,970.831627194803,120170.241315499,94,96
"20","WaltonSmith","UK","Inshore","nDIC",0.654276069353462,0.0351150732989873,18.6323424069951,2.54586117985002e-33,0.786927399139682,0.784660669343296,35.7548153750695,347.164183571509,2.54586117985002e-33,1,-478.5692913102,963.138582620399,970.831627194803,120170.241315499,94,96
"21","WaltonSmith","UK","Mid channel","(Intercept)",1350.31438122091,134.405030970351,10.0466059303894,2.61202455424449e-14,0.50794542734533,0.499461727816801,18.9008913312123,59.8731043735369,1.686834668234e-10,1,-260.471810322121,526.943620644242,533.226654330908,20720.1342006291,58,60
"22","WaltonSmith","UK","Mid channel","nDIC",0.500790957661874,0.0647203102255,7.73777127947945,1.6868346682339e-10,0.50794542734533,0.499461727816801,18.9008913312123,59.8731043735369,1.686834668234e-10,1,-260.471810322121,526.943620644242,533.226654330908,20720.1342006291,58,60
"23","WaltonSmith","UK","Offshore","(Intercept)",1405.12328806371,88.6890956184316,15.8432474507238,5.84659780137938e-27,0.59359918251726,0.588761077547228,12.1258366148964,122.692497619219,4.21172975192654e-18,1,-335.616007757417,677.232015514834,684.595057403595,12351.0167433376,84,86
"24","WaltonSmith","UK","Offshore","nDIC",0.473463837379539,0.0427442607036618,11.0766645529789,4.21172975192687e-18,0.59359918251726,0.588761077547228,12.1258366148964,122.692497619219,4.21172975192654e-18,1,-335.616007757417,677.232015514834,684.595057403595,12351.0167433376,84,86
"25","WaltonSmith","UK","Oceanic","(Intercept)",1513.17230988459,131.723521853784,11.48748749342,1.0575157571048e-12,0.588167703686761,0.574882790902463,13.5167285975453,44.2733583002472,1.93809982350131e-07,1,-131.723012137621,269.446024275242,273.935546959641,5663.76051137067,31,33
"26","WaltonSmith","UK","Oceanic","nDIC",0.424089247813899,0.0637361797004372,6.65382283354818,1.93809982350134e-07,0.588167703686761,0.574882790902463,13.5167285975453,44.2733583002472,1.93809982350131e-07,1,-131.723012137621,269.446024275242,273.935546959641,5663.76051137067,31,33
"27","WaltonSmith","MK","Inshore","(Intercept)",419.311855760889,70.5581496684599,5.94278418199967,3.00953896262882e-08,0.86707015956448,0.865924212664174,45.0315563506223,756.640782686172,1.17297715753484e-52,1,-615.695067906734,1237.39013581347,1245.70218968686,235229.563813675,116,118
"28","WaltonSmith","MK","Inshore","nDIC",0.946802332890711,0.0344202837654421,27.5071042221127,1.17297715753481e-52,0.86707015956448,0.865924212664174,45.0315563506223,756.640782686172,1.17297715753484e-52,1,-615.695067906734,1237.39013581347,1245.70218968686,235229.563813675,116,118
"29","WaltonSmith","MK","Mid channel","(Intercept)",646.449418310036,87.9394058450424,7.35107784841236,3.84068556350615e-11,0.778585784041564,0.776554460959377,31.4174634073785,383.289980244366,1.77489051473681e-37,1,-539.150451130792,1084.30090226158,1092.42949286552,107589.213757982,109,111
"30","WaltonSmith","MK","Mid channel","nDIC",0.83716562002785,0.0427609801777356,19.5777930381431,1.77489051473679e-37,0.778585784041564,0.776554460959377,31.4174634073785,383.289980244366,1.77489051473681e-37,1,-539.150451130792,1084.30090226158,1092.42949286552,107589.213757982,109,111
"31","WaltonSmith","MK","Offshore","(Intercept)",1335.17847424878,92.1696724451311,14.4860932975933,1.07676980080608e-27,0.528770162724646,0.52467251196573,21.3218278651179,129.042271739262,1.64683500942005e-20,1,-522.995728363486,1051.99145672697,1060.27797853137,52281.3395036176,115,117
"32","WaltonSmith","MK","Offshore","nDIC",0.506956147288443,0.0446276885568586,11.3596774487334,1.64683500942017e-20,0.528770162724646,0.52467251196573,21.3218278651179,129.042271739262,1.64683500942005e-20,1,-522.995728363486,1051.99145672697,1060.27797853137,52281.3395036176,115,117
"33","WaltonSmith","MK","Oceanic","(Intercept)",1677.73578360102,102.464159992708,16.3738792541745,6.21743904714586e-25,0.422592477994628,0.413843879176365,12.3686919410142,48.3040183660545,1.9867564179187e-09,1,-266.504273182751,539.008546365501,545.667069481029,10096.9796618928,66,68
"34","WaltonSmith","MK","Oceanic","nDIC",0.343109175902544,0.0493674508335271,6.95010923410952,1.98675641791875e-09,0.422592477994628,0.413843879176365,12.3686919410142,48.3040183660545,1.9867564179187e-09,1,-266.504273182751,539.008546365501,545.667069481029,10096.9796618928,66,68
"35","WaltonSmith","LK","Inshore","(Intercept)",443.792588746314,68.9721044918135,6.43437795636624,2.34982027188874e-09,0.853839851350927,0.852679850171172,39.2763467021669,736.068088768318,1.85716921429716e-54,1,-650.455913896641,1306.91182779328,1315.46791858504,194371.55769387,126,128
"36","WaltonSmith","LK","Inshore","nDIC",0.92159126953711,0.0339687336690199,27.1305747961284,1.85716921429721e-54,0.853839851350927,0.852679850171172,39.2763467021669,736.068088768318,1.85716921429716e-54,1,-650.455913896641,1306.91182779328,1315.46791858504,194371.55769387,126,128
"37","WaltonSmith","LK","Mid channel","(Intercept)",414.523744235914,72.7180048082413,5.70042791092827,9.24143562574076e-08,0.861708824374648,0.860516659067533,27.9093968396796,722.809847956306,1.16569599901523e-51,1,-559.24386084646,1124.48772169292,1132.79977556632,90356.394106747,116,118
"38","WaltonSmith","LK","Mid channel","nDIC",0.945433287125125,0.0351656669410792,26.8851231716782,1.16569599901506e-51,0.861708824374648,0.860516659067533,27.9093968396796,722.809847956306,1.16569599901523e-51,1,-559.24386084646,1124.48772169292,1132.79977556632,90356.394106747,116,118
"39","WaltonSmith","LK","Offshore","(Intercept)",699.923182023892,89.066678753551,7.85841789341433,8.51946087741846e-13,0.715297767469313,0.713306842766301,26.1662912840328,359.279166302591,7.65654045229111e-41,1,-678.087565259739,1362.17513051948,1371.10533174674,97908.4963372018,143,145
"40","WaltonSmith","LK","Offshore","nDIC",0.811356678430161,0.0428051278098899,18.9546608068462,7.65654045229154e-41,0.715297767469313,0.713306842766301,26.1662912840328,359.279166302591,7.65654045229111e-41,1,-678.087565259739,1362.17513051948,1371.10533174674,97908.4963372018,143,145
"41","WaltonSmith","LK","Oceanic","(Intercept)",1620.53449982319,91.2032276946334,17.7683897904257,8.78278051685512e-29,0.485227614996088,0.478454294140773,12.2677126564031,71.6380672584493,1.42163358170343e-12,1,-305.207885874597,616.415771749194,623.485898229263,11437.7548103255,76,78
"42","WaltonSmith","LK","Oceanic","nDIC",0.371591974825684,0.043903020037672,8.4639274133495,1.42163358170351e-12,0.485227614996088,0.478454294140773,12.2677126564031,71.6380672584493,1.42163358170343e-12,1,-305.207885874597,616.415771749194,623.485898229263,11437.7548103255,76,78
