"","2010","2011","2012","2014","2015","2016","2017","2018","2019","2020","2021","2022","Season"
"1",24,16,24,NA,NA,76,72,52,6,35,37,74,"Winter"
"2",20,47,NA,NA,76,38,38,66,35,NA,73,NA,"Spring"
"3",NA,NA,NA,NA,75,76,36,38,72,34,35,NA,"Summer"
"4",NA,53,NA,36,37,35,38,55,37,75,71,NA,"Fall"
