"","Sub_region","emmean","SE","df","lower.CL","upper.CL",".group"
"1","BB",3.63208492667352,0.118501299411387,13.224705170023,3.37651991082889,3.88764994251814,"  2 "
"2","UK",3.8323557346934,0.117103538497969,12.6140365534372,3.57857977987361,4.08613168951319,"   3"
"3","MK",3.73132103683004,0.116595544525955,12.3973671758737,3.47818132943105,3.98446074422903,"  23"
"4","LK",3.38576708187788,0.116468372572542,12.3432266423031,3.13278470754594,3.63874945620982," 1  "
