,,,,,,,,,,,,,ALKALINITY DATA,,,,,,,,,,,,,,,,,DIC DATA,,,,,,,,,,,,,CALCULATED DATA (from DIC and TA),,,,
Sample #,Bottle ID,Date collected,Time collected,Project,,Location,Temp at collection,Salinity,Depth (m),Collector,Calculated Density (field conditions),,Date alkalinity analyzed,"Machine  (Langdon, Apollo)",CRM ID,CRM certified TA value (µequiv/kg),Difference between TA1 and TA2,Temp during TA analysis,Sample density at analysis,TA1 (µequiv/L),TA2 (µequiv/L),Mean TA (µequiv/L),Mean TA corrected for density (uequiv/kg),TA with CRM Correction (uequiv/kg),TA1 pH,TA2 pH,Mean TA pH (NBS),Mean TA pH (total),,Date analyzed,Machine (SOMMA or Apollo),CRM ID,CRM Certified TCO2 value (µmol/kg),Temp during TCO2 analysis,Density during TCO2 analysis,Difference between TCO2_1 and TCO2_2,TCO2_1 (µmol/L),TCO2_2  (µmol/L),Mean TCO2 (µmol/L),Mean TCO2 corrected for density (µmol/kg),CRM Corrected TCO2 (µmol/kg),,Arag,pCO2 (µatm),pH (total),Notes,Project detail
429,CRM104,11/7/2011,,,,,,33.30,,,,,11/7/2011,Langdonometer,CRM104,2222.61,-0.600000000000364,,,2203.7,2204.3,,2204,18.6100000000001,,,,,,10/31/2011,SOMMA,CRM104,2020.1,,,-5.7,1995.7,2001.4,1998.51,1998.510000,21.590000,,,,,,
430,1,10/20/2011,12:01 PM,Walton Smith,,WS STN 1,25.30,33.25,1,,1.02192876958062,,11/7/2011,Langdonometer,CRM104,2222.61,-2.5,21.8,1.022944000,2385.7,2388.2,,2386.95,2405.56,7.972,7.971,,7.9715,,10/31/2011,SOMMA,CRM104,2020.1,,,,2104.9,,,2104.910000,2126.500000,,3.31,465.3,8.011,,WS
431,3,10/20/2011,12:36 PM,Walton Smith,,WS STN 3,26.40,34.33,1,,1.02240418672378,,11/7/2011,Langdonometer,CRM104,2222.61,4.5,21.85,1.023751299,2384.1,2379.6,,2381.85,2400.46,8.091,8.087,,8.089,,10/31/2011,SOMMA,CRM104,2020.1,,,,2039.0,,,2039.040000,2060.630000,,3.92,375.3,8.082,,WS
432,4,10/20/2011,5:33 PM,Walton Smith,,WS STN 4,25.70,32.31,1,,1.02110164153836,,11/7/2011,Langdonometer,CRM104,2222.61,-1.40000000000009,22,1.022179037,2260.0,2261.4,,2260.7,2279.31,7.958,7.96,,7.959,,10/31/2011,SOMMA,CRM104,2020.1,,,,2001.4,,,2001.410000,2023.000000,,3.04,464.4,7.995,,WS
433,CRM104,11/8/2011,,,,,,33.30,,,,,11/8/2011,Langdonometer,CRM104,2222.61,0,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,
434,5,10/20/2011,5:54 PM,Walton Smith,,WS STN 5,25.91,33.51,1,,1.02194106240528,,11/8/2011,Langdonometer,CRM104,2222.61,-7.09999999999991,21.65,1.023186614,2299.9,2307.0,,2303.45,2315.75,8.011,8.003,,8.007,,10/31/2011,SOMMA,CRM104,2020.1,,,,2009.5,,,2009.520000,2031.110000,,3.32,432.7,8.022,,WS
435,6,10/20/2011,7:05 PM,Walton Smith,,WS STN 6,27.28,34.84,1,,1.02250464244913,,11/8/2011,Langdonometer,CRM104,2222.61,6.5,21.9,1.024121872,2346.4,2339.9,,2343.15,2355.45,8.151,8.142,,8.1465,,10/31/2011,SOMMA,CRM104,2020.1,,,,1971.4,,,1971.360000,1992.950000,,4.13,341.9,8.104,,WS
436,7,10/20/2011,7:54 PM,Walton Smith,,WS STN 6.5,28.16,35.05,1,,1.02238637698008,,11/8/2011,Langdonometer,CRM104,2222.61,1.79999999999973,22.1,1.024232281,2351.2,2349.4,,2350.3,2362.6,8.198,8.19,,8.194,,10/31/2011,SOMMA,CRM104,2020.1,,,,1936.3,,,1936.340000,1957.930000,,4.59,298.7,8.149,,WS
437,8,10/20/2011,12:24 AM,Walton Smith,,WS STN 7,25.87,32.04,1,,1.02084366803113,,11/8/2011,Langdonometer,CRM104,2222.61,2.59999999999991,22.15,1.021931205,2204.7,2202.1,,2203.4,2215.7,7.949,7.932,,7.9405,,10/31/2011,SOMMA,CRM104,2020.1,,,,1960.6,,,1960.610000,1982.200000,,2.78,495.8,7.962,,WS
