Bottle ID,Date collected,Time collected (EST) ,Latitude,Longitude,Sampling Location,Temp at collection (deg C),Salinity (psu),Collector,Calculated Density field conditions (g/ml),Desitometer Salinity ,Date alkalinity analyzed,CRM ID,CRM certified TA value (µequiv/kg),Difference between TA1 and TA2,Temp during TA analysis,Sample density at analysis,TA1 (µequiv/L),TA2 (µequiv/L),Mean TA (µequiv/L),Mean TA corrected for density (uequiv/kg),TA with CRM Correction (uequiv/kg),TA1 pH,TA2 pH,Mean TA pH (NBS),Mean TA pH (total),,Date analyzed,CRM ID,CRM Certified TCO2 value (µmol/kg),Temp during TCO2 analysis,Density during TCO2 analysis,Difference between TCO2_1 and TCO2_2,TCO2_1 (µmol/L),TCO2_2  (µmol/L),Mean TCO2 (µmol/L),Mean TCO2 corrected for density (µmol/kg),CRM Corrected TCO2 (µmol/kg)
9C,7/9/2014,2:29:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,31.3,37.5,John Fajans,1.016229966,37.07292233,8/7/2014,CRM138,2221.75,-1.3,25.15,1.025187693,2368.1,2369.4,2368.75,2310.552513,2329.941567,8.331,8.324,8.3275,,,8/6/2014,CRM138,2033.98,24.3,1.025446986,2.847319,1958.363581,1955.516262,1956.939922,1908.377467,1932.955087
10C,7/9/2014,2:34:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,31.2,37.5,John Fajans,1.016155904,37.04149774,8/7/2014,CRM138,2221.75,0.1,25.2,1.025172267,2375.6,2375.5,2375.55,2317.220311,2336.609365,8.307,8.305,8.306,,,8/6/2014,CRM138,2033.98,24.7,1.025325659,-0.271337,1970.090545,1970.361882,1970.226214,1921.561404,1946.139024
11C,7/9/2014,2:39:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,31.3,37.5,John Fajans,1.016229966,37.04280711,8/7/2014,CRM138,2221.75,-0.9,25.35,1.025125876,2366.5,2367.4,2366.95,2308.935961,2328.325015,8.322,8.328,8.325,,,8/6/2014,CRM138,2033.98,24.6,1.025356107,-0.529912,1964.659004,1965.188916,1964.92396,1916.33321,1940.91083
14C,7/31/2014,2:25:00 PM,24° 53.896' N,80° 37.043' W,CalVal N,32.7,38.2,John Fajans,1.016992551,37.96471283,8/7/2014,CRM138,2221.75,-0.1,25.15,1.025717481,2286.7,2286.8,2286.75,2229.415061,2248.804114,8.288,8.288,8.288,,,8/6/2014,CRM138,2033.98,25,1.025763778,2.417751,1889.812824,1887.395073,1888.603949,1841.168491,1865.746111
15C,7/31/2014,2:29:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,32.6,38.1,John Fajans,1.016957918,37.82206026,8/7/2014,CRM138,2221.75,1.4,25.2,1.025626319,2288.3,2286.9,2287.6,2230.441982,2249.831036,8.29,8.285,8.2875,,,8/6/2014,CRM138,2033.98,24.8,1.025749498,3.11865,1894.969894,1891.851244,1893.410569,1845.880084,1870.457704
16C,7/31/2014,2:35:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,32.7,38.2,John Fajans,1.016992551,37.92937795,8/7/2014,CRM138,2221.75,0.5,25.15,1.025717481,2287.9,2287.4,2287.65,2230.292495,2249.681549,8.271,8.275,8.273,,,8/6/2014,CRM138,2033.98,25,1.025763778,-2.721395,1891.572633,1894.294028,1892.933331,1845.389134,1869.966753
17C,7/31/2014,2:40:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,32.8,38.1,John Fajans,1.017106054,37.83253057,8/7/2014,CRM138,2221.75,1.3,25.15,1.025641783,2280.3,2279,2279.65,2222.657108,2242.046162,8.285,8.208,8.2465,,,8/6/2014,CRM138,2033.98,24.8,1.025749498,-2.840226,1888.264337,1891.104563,1889.68445,1842.247502,1866.825122
18C,7/31/2014,2:45:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,32.7,38.2,John Fajans,1.016992551,38.02621998,8/7/2014,CRM138,2221.75,1.1,25.35,1.025655484,2282.2,2281.1,2281.65,2224.57739,2243.966444,8.299,8.288,8.2935,,,8/6/2014,CRM138,2033.98,25,1.025763778,-0.252632,1882.879864,1883.132496,1883.00618,1835.71132,1860.28894
3A  ,8/14/2014,11:10:00 AM,24° 53.896' N,80° 37.043' W,CalVal N,31.4,35.7,John Fajans,1.016993834,35.92163537,9/3/2014,CRM138,2221.75,3,25,1.023872203,2356.5,2353.5,2355,2300.091742,2308.926465,8.26,8.258,8.259,,,9/3/2014,CRM138,2033.98,25,1.023872203,-1.976651,2007.634376,2009.611027,2008.622702,1961.790441,1927.681162
4A,8/14/2014,11:14:00 AM,24° 53.891' N,80° 36.964' W,ADCP NE,31.5,35.9,John Fajans,1.016992456,36.08278144,9/3/2014,CRM138,2221.75,1,24.75,1.024099457,2359,2358,2358.5,2302.998976,2311.833698,8.255,8.255,8.255,,,9/3/2014,CRM138,2033.98,24.9,1.024053897,1.871068,2001.689937,1999.818869,2000.754403,1953.758888,1919.649609
5A ,8/14/2014,11:18:00 AM,24° 53.798' N,80° 36.918' W,CalVal SE,31.5,35.8,John Fajans,1.017030295,35.76964706,9/3/2014,CRM138,2221.75,2.8,24.95,1.023963051,2356.7,2353.9,2355.3,2300.180654,2309.015376,8.261,8.243,8.252,,,9/3/2014,CRM138,2033.98,25,1.023947813,-1.339693,1997.538238,1998.877931,1998.208085,1951.474538,1917.365258
6A,8/14/2014,11:22:00 AM,24° 53.735' N,80° 36.998' W,CalVal S,31.6,35.7,"John Fajans,",1.017142306,35.92556594,9/3/2014,CRM138,2221.75,-3.1,24.95,1.023887435,2358.4,2361.5,2359.95,2304.892041,2313.726764,8.267,8.267,8.267,,,9/3/2014,CRM138,2033.98,25,1.023872203,-0.191183,1996.912928,1997.104111,1997.00852,1950.447051,1916.337772
7A,8/14/2014,11:26:00 AM,24° 53.788' N,80° 37.092' W,ADCP S,31.7,35.7,"John Fajans, ",1.017216548,35.93735757,9/3/2014,CRM138,2221.75,-1.4,24.95,1.023887435,2357,2358.4,2357.7,2302.694534,2311.529256,8.264,8.258,8.261,,,9/3/2014,CRM138,2033.98,25.2,1.023811083,-2.864042,1990.319371,1993.183413,1991.751392,1945.42863,1911.31935
8A,8/14/2014,11:30:00 AM,24° 54.311' N,80° 37.596' W,Transect 1,31.9,36.5,John Fajans,1.017060712,36.6813846,9/3/2014,CRM138,2221.75,-1.6,25.15,1.024431236,2339.2,2340.8,2340,2284.194309,2293.029031,8.198,8.215,8.2065,,,9/3/2014,CRM138,2033.98,25.1,1.024446578,-2.490985,2012.285231,2014.776216,2013.530724,1965.481428,1931.372149
9A,8/14/2014,11:35:00 AM,24° 53.128' N,80° 36.246' W,Transect 2,31.6,35.7,John Fajans,1.017142306,35.91377422,9/3/2014,CRM138,2221.75,-0.6,23.75,1.02424715,2364.8,2365.4,2365.1,2309.110647,2317.945369,8.249,8.232,8.2405,,,9/3/2014,CRM138,2033.98,24.7,1.023963303,-3.91324,2010.71299,2014.62623,2012.66961,1965.568107,1931.458827
10A,8/14/2014,11:41:00 AM,24° 52.164' N,80° 35.101' W,Transect 3,31.4,34.9,John Fajans,1.017293534,35.15752107,9/3/2014,CRM138,2221.75,-0.7,24.65,1.023373331,2288.9,2289.6,2289.25,2236.964683,2245.799405,8.225,8.226,8.2255,,,9/3/2014,CRM138,2033.98,24.9,1.023297823,-1.710285,1961.458549,1963.168834,1962.313692,1917.636925,1883.527646
11A,8/14/2014,11:50:00 AM,24° 51.282' N,80° 34.045' W,Transect 4,31.4,34.4,John Fajans,1.017478654,34.49828403,9/3/2014,CRM138,2221.75,0.9,24.95,1.022904822,2297.1,2296.2,2296.65,2245.223554,2254.058277,8.241,8.241,8.241,,,9/3/2014,CRM138,2033.98,25,1.022889675,0.016763,1970.918702,1970.901939,1970.910321,1926.806349,1892.69707
14A,8/28/2014,5:17:00 PM,24° 53.896' N,80° 37.043' W,CalVal N,31.1,33.2,John Fajans,1.017692541,33.37320105,9/4/2014,CRM138,2221.75,1.4,24.95,1.021998438,2383.2,2381.8,2382.5,2331.21687,2333.049592,8.306,8.0298,8.1679,,,9/3/2014,CRM138,2033.98,24.8,1.022043525,2.890865,2015.407881,2012.517016,2013.962449,1970.525128,1936.415848
15A,8/28/2014,5:22:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,31.1,33.2,John Fajans,1.017692541,33.29841568,9/4/2014,CRM138,2221.75,0.9,24.95,1.021998438,2382.7,2381.8,2382.25,2330.972251,2332.804973,8.298,8.307,8.3025,,,9/3/2014,CRM138,2033.98,24.9,1.022013487,3.969479,2040.345254,2036.375775,2038.360515,1994.455593,1960.346313
16A,8/28/2014,5:29:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,30.9,33,John Fajans,1.017615432,33.22887576,9/4/2014,CRM138,2221.75,-1.5,24.85,1.021877485,2384.6,2386.1,2385.35,2334.281786,2336.114508,8.294,8.294,8.294,,,9/3/2014,CRM138,2033.98,25,1.021832378,2.628859,2039.538252,2036.909393,2038.223823,1994.675317,1960.566038
17A,8/28/2014,5:34:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,31,33.1,"John Fajans, ",1.017654029,33.22197302,9/4/2014,CRM138,2221.75,0.6,24.7,1.021997948,2384.5,2383.9,2384.2,2332.881397,2334.714118,8.294,8.291,8.2925,,,9/3/2014,CRM138,2033.98,24.6,1.022027816,2.837337,2046.928502,2044.091165,2045.509834,2001.42286,1967.31358
18A,8/28/2014,5:39:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,31,33.1,John Fajans,1.017654029,33.28757689,9/4/2014,CRM138,2221.75,-0.9,24.85,1.021952998,2386.5,2387.4,2386.95,2335.674932,2337.507654,8.299,8.293,8.296,,,9/3/2014,CRM138,2033.98,24.9,1.021937976,2.778462,2026.340932,2023.56247,2024.951701,1981.481997,1947.372718
3N,9/5/2014,3:33:00 PM,24° 53.896' N,80° 37.043' W,CalVal N,30.8,33.8,John Fajans,1.017252123,34.22808572,9/30/2014,CRM138,2221.75,1.2,25,1.022436446,2429.6,2428.4,2429,2375.697785,2384.324665,8.275,8.275,8.275,,,9/29/2014,CRM138,2033.98,24,1.022734865,-2.557641,2053.915943,2056.473584,2055.194764,2009.508852,2023.02763
4N,9/5/2014,3:39:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,30.7,33.8,John Fajans,1.017177734,34.26218179,9/30/2014,CRM138,2221.75,-1.7,25.05,1.022421319,2420.9,2422.6,2421.75,2368.641924,2377.268804,8.283,8.29,8.2865,,,9/29/2014,CRM138,2033.98,24.4,1.022616443,3.511565,2044.157204,2040.645639,2042.401422,1997.231156,2010.749934
5N,9/5/2014,3:45:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,30.8,33.9,John Fajans,1.017215706,34.23857689,9/30/2014,CRM138,2221.75,2.4,25.15,1.022466514,2424,2421.6,2422.8,2369.564155,2378.191035,8.282,8.285,8.2835,,,9/29/2014,CRM138,2033.98,23.8,1.022869287,-0.025624,2044.150187,2044.175811,2044.162999,1998.459652,2011.97843
6N,9/5/2014,3:50:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,30.7,33.9,"John Fajans,",1.017141327,34.22939712,9/30/2014,CRM138,2221.75,0.9,24.75,1.022587349,2422.2,2421.3,2421.75,2368.257345,2376.884225,8.293,8.288,8.2905,,,9/29/2014,CRM138,2033.98,24.2,1.022751446,1.283772,2045.616526,2044.332754,2044.97464,1999.4835,2013.002278
7N,9/5/2014,3:54:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,30.8,33.8,"John Fajans, ",1.017252123,34.2175945,9/30/2014,CRM138,2221.75,0.6,25,1.022436446,2425.6,2425,2425.3,2372.078978,2380.705858,8.273,8.271,8.272,,,9/29/2014,CRM138,2033.98,24.3,1.022646167,-0.053836,2057.645259,2057.699095,2057.672177,2012.105695,2025.624473
10N,9/24/2014,2:40:00 PM,24° 53.896' N,80° 37.043' W,CalVal N,29.1,33.2,"John Fajans, Renee Carlton",1.016204066,33.2705201,10/2/2014,CRM138,2221.75,3.2,24.7,1.022073485,2394.5,2391.3,2392.9,2341.221091,2345.788899,8.221,8.215,8.218,,,9/29/2014,CRM138,2033.98,24.2,1.0222221,-3.217174,2074.338555,2077.555729,2075.947142,2030.818099,2044.336877
11N,9/24/2014,2:46:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,29.1,33.2,"John Fajans, Renee Carlton",1.016204066,32.84273841,10/2/2014,CRM138,2221.75,-1,24.75,1.022058515,2389.2,2390.2,2389.7,2338.124446,2342.692255,8.198,8.184,8.191,,,9/29/2014,CRM138,2033.98,24.4,1.022162892,0.886606,2077.266829,2076.380223,2076.823526,2031.793115,2045.311893
12N,9/24/2014,2:51:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,29.1,33.2,"John Fajans, Renee Carlton",1.016204066,33.24199669,10/2/2014,CRM138,2221.75,3.2,25.1,1.021953174,2390,2386.8,2388.4,2337.093382,2341.661191,8.187,8.176,8.1815,,,9/29/2014,CRM138,2033.98,24.9,1.022013487,-3.56496,2078.657562,2082.222522,2080.440042,2035.628755,2049.147533
13N,9/24/2014,3:00:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,29.1,33.3,"John Fajans, Renee Carlton",1.016168238,33.02548973,10/2/2014,CRM138,2221.75,3.5,25.4,1.021937568,2392,2388.5,2390.25,2338.93936,2343.507168,8.185,8.184,8.1845,,,9/29/2014,CRM138,2033.98,24.5,1.022208737,-3.317517,2078.548764,2081.866281,2080.207523,2035.012466,2048.531245
14N,9/24/2014,3:04:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,29.1,33.3,"John Fajans, Renee Carlton",1.016168238,33.27120477,10/2/2014,CRM138,2221.75,-0.1,24.7,1.022149027,2388.1,2388.2,2388.15,2336.400991,2340.9688,8.188,8.194,8.191,,,9/29/2014,CRM138,2033.98,24.5,1.022208737,2.380066,2079.353116,2076.97305,2078.163083,2033.012445,2046.531223
15N,9/24/2014,3:09:00 PM,24° 54.311' N,80° 37.596' W,Transect 1,29.1,33.1,"John Fajans, Renee Carlton",1.016239823,33.13702669,10/2/2014,CRM138,2221.75,3.4,25,1.021907872,2359.1,2355.7,2357.4,2306.861573,2311.429381,8.231,8.217,8.224,,,9/29/2014,CRM138,2033.98,24.8,1.021968001,0.876884,2030.34298,2029.466096,2029.904538,1986.270153,1999.788931
16N,9/24/2014,2:25:00 PM,24° 53.128' N,80° 36.246' W,Transect 2,29.1,33.2,"John Fajans, Renee Carlton",1.016204066,33.18917023,10/2/2014,CRM138,2221.75,0,24.65,1.022088436,2393.3,2393.3,2393.3,2341.5782,2346.146009,8.244,8.239,8.2415,,,9/29/2014,CRM138,2033.98,24.6,1.022103366,-0.116158,2049.123785,2049.239943,2049.181864,2004.867542,2018.38632
17N,9/24/2014,2:16:00 PM,24° 52.164' N,80° 35.101' W,Transect 3,29.1,33.2,"John Fajans, Renee Carlton",1.016204066,33.19048236,10/2/2014,CRM138,2221.75,-2.6,25.05,1.021968282,2401.9,2404.5,2403.2,2351.540692,2356.1085,8.238,8.244,8.241,,,9/29/2014,CRM138,2033.98,24.3,1.022192536,0.030606,2058.289546,2058.25894,2058.274243,2013.587628,2027.106406
18N,9/24/2014,2:07:00 PM,24° 51.282' N,80° 34.045' W,Transect 4,29.1,33.4,"John Fajans, Renee Carlton",1.01613234,33.44764081,10/2/2014,CRM138,2221.75,1.5,24.85,1.022179564,2406.1,2404.6,2405.35,2353.157982,2357.725791,8.268,8.278,8.273,,,9/29/2014,CRM138,2033.98,24.3,1.022343729,0.967052,2040.316187,2039.349135,2039.832661,1995.251306,2008.770084
3H,10/22/2014,2:19:00 PM,24° 53.896' N,80° 37.043' W,CalVal N,26.9,34.2,John Fajans,1.014209301,34.76999151,11/5/2014,CRM138,2221.75,2,25.35,1.022632099,2420.8,2418.8,2419.8,2366.246866,2369.776992,8.221,8.221,8.221,,,11/4/2014,CRM138,2033.98,24.8,1.022799,2.375959,2104.373082,2101.997123,2103.185103,2056.303441,2063.885802
4H,10/22/2014,2:15:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,26.9,34.2,John Fajans,1.014209301,34.84348806,11/5/2014,CRM138,2221.75,-2.6,25.4,1.02261681,2422.5,2425.1,2423.8,2370.193778,2373.723905,8.212,8.212,8.212,,,11/4/2014,CRM138,2033.98,24.5,1.022889039,0.578521,2135.905748,2135.327227,2135.616488,2087.828108,2095.410469
5H,10/22/2014,2:08:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,26.9,34.2,John Fajans,1.014209301,34.84741812,11/5/2014,CRM138,2221.75,-3.6,25.4,1.02261681,2422.2,2425.8,2424,2370.389355,2373.919481,8.215,8.219,8.217,,,11/4/2014,CRM138,2033.98,25.2,1.022677851,-3.88568,2103.812088,2107.697768,2105.754928,2059.059874,2066.642235
8H,10/22/2014,2:03:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,26.7,34.3,John Fajans,1.014024614,34.74639631,11/6/2014,CRM138,2221.75,-2.2,25.25,1.022738132,2415.4,2417.6,2416.5,2362.774912,2367.155064,8.227,8.232,8.2295,,,11/4/2014,CRM138,2033.98,24.9,1.022844387,-3.540016,2096.53655,2100.076566,2098.306558,2051.442608,2059.024969
9H,10/22/2014,1:56:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,26.8,34.3,John Fajans,1.0140988,34.82276936,11/6/2014,CRM138,2221.75,-1.6,25.3,1.022722875,2417.8,2419.4,2418.6,2364.863502,2369.243654,8.22,8.227,8.2235,,,11/4/2014,CRM138,2033.98,25,1.022814126,-3.058039,2104.002042,2107.060081,2105.531062,2058.566662,2066.149023
12H,10/29/2014,11:58:00 AM,24° 53.896' N,80° 37.043' W,CalVal N,25.9,33.6,John Fajans,1.013683261,34.37704331,11/6/2014,CRM138,2221.75,-0.7,25.3,1.022194426,2411.5,2412.2,2411.85,2359.482638,2363.86279,8.19,8.186,8.188,,,11/4/2014,CRM138,2033.98,25.2,1.02222483,3.816715,2129.054646,2125.237931,2127.146289,2080.89867,2088.481031
14H,10/29/2014,12:03:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,25.8,33.6,John Fajans,1.013609037,34.30817565,11/6/2014,CRM138,2221.75,2.5,25.4,1.022163943,2409.1,2406.6,2407.85,2355.639734,2360.019886,8.184,8.196,8.19,,,11/4/2014,CRM138,2033.98,25,1.022285404,-2.766215,2144.309162,2147.075377,2145.69227,2098.917056,2106.499417
15H,10/29/2014,12:09:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,25.8,33.7,John Fajans,1.013573258,34.38684354,11/6/2014,CRM138,2221.75,-3.3,25.2,1.022300323,2407.8,2411.1,2409.45,2356.89058,2361.270732,8.172,8.182,8.177,,,11/4/2014,CRM138,2033.98,24.6,1.022481183,2.964403,2151.903063,2148.93866,2150.420862,2103.139792,2110.722152
16H,10/29/2014,12:13:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,25.7,33.7,John Fajans,1.013499048,34.36883229,11/6/2014,CRM138,2221.75,1.8,25.4,1.022239411,2416.6,2414.8,2415.7,2363.145047,2367.525199,8.189,8.184,8.1865,,,11/4/2014,CRM138,2033.98,25.3,1.022269906,-3.060085,2121.420021,2124.480106,2122.950064,2076.702104,2084.284465
17H,10/29/2014,12:18:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,25.7,33.6,John Fajans,1.013534818,34.36324352,11/7/2014,CRM138,2221.75,-1.4,25.25,1.022209637,2396.6,2398,2397.3,2345.213655,2353.706071,8.153,8.16,8.1565,,,11/4/2014,CRM138,2033.98,25.2,1.02222483,-1.370839,2114.348452,2115.719291,2115.033872,2069.049597,2076.631957
18H,10/29/2014,12:24:00 PM,24° 54.311' N,80° 37.596' W,Transect 1,25.7,33.3,John Fajans,1.013641698,33.94252243,11/7/2014,CRM138,2221.75,1.8,25.3,1.021968011,2349.9,2348.1,2349,2298.506387,2306.998802,8.157,8.156,8.1565,,,11/4/2014,CRM138,2033.98,25.1,1.022028663,-3.440145,2076.415075,2079.85522,2078.135148,2033.343313,2040.925674
19H,10/29/2014,12:34:00 PM,24° 53.128' N,80° 36.246' W,Transect 2,25.7,34,John Fajans,1.013391315,34.68050764,11/7/2014,CRM138,2221.75,1.5,25.35,1.022481114,2426.2,2424.7,2425.45,2372.122054,2380.614469,8.178,8.176,8.177,,,11/4/2014,CRM138,2033.98,25.2,1.022526827,-2.59446,2142.861143,2145.455603,2144.158373,2096.921388,2104.503748
20H,10/29/2014,12:45:00 PM,24° 52.164' N,80° 35.101' W,Transect 3,27.2,34.3,John Fajans,1.014395582,35.12870529,11/7/2014,CRM138,2221.75,2.2,25.4,1.022692302,2413.4,2411.2,2412.3,2358.773987,2367.266403,8.252,8.252,8.252,,,11/4/2014,CRM138,2033.98,25.2,1.02275337,2.702132,2085.751585,2083.049453,2084.400519,2038.028503,2045.610864
21H,10/29/2014,12:54:00 PM,24° 51.282' N,80° 34.045' W,Transect 4,27.4,34.3,John Fajans,1.014543995,34.8115927,11/7/2014,CRM138,2221.75,-2,25.4,1.022692302,2410.8,2412.8,2411.8,2358.285082,2366.777497,8.258,8.257,8.2575,,,11/4/2014,CRM138,2033.98,25.3,1.022722875,-3.543089,2062.355195,2065.898284,2064.12674,2018.265935,2025.848296
1F,11/7/2014,1:27:00 PM,24° 53.788' N,80° 37.092' W,ADCP S,24,34.5,John Fajans,1.011950641,34.92829235,12/4/2014,CRM138,2221.75,0.3,25.3,1.022873899,2452.9,2452.6,2452.75,2397.900663,2413.59882,8.182,8.176,8.179,,,12/3/2014,CRM138,2033.98,24.8,1.023025725,-2.856965,2179.97217,2182.829135,2181.400653,2132.302834,2135.852091
2F,11/7/2014,1:34:00 PM,24° 53.735' N,80° 36.998' W,CalVal S,23.7,34.6,John Fajans,1.011692229,34.99645464,12/4/2014,CRM138,2221.75,0,25.4,1.022918806,2449.6,2449.6,2449.6,2394.715969,2410.414126,8.178,8.186,8.182,,,12/3/2014,CRM138,2033.98,24.2,1.023280998,-3.808839,2180.336236,2184.145075,2182.240656,2132.59179,2136.141046
3F,11/7/2014,1:51:00 PM,24° 53.896' N,80° 37.043' W,CalVal N,24.1,34.5,John Fajans,1.012024715,34.83921305,12/4/2014,CRM138,2221.75,0.2,25.3,1.022873899,2457.2,2457,2457.1,2402.153386,2417.851543,8.159,8.156,8.1575,,,12/3/2014,CRM138,2033.98,24.5,1.023115883,-1.863191,2194.916011,2196.779202,2195.847607,2146.235478,2149.784734
4F,11/7/2014,1:46:00 PM,24° 53.891' N,80° 36.964' W,ADCP NE,23.9,34.5,John Fajans,1.011876571,34.80897109,12/4/2014,CRM138,2221.75,1.3,25.3,1.022873899,2456.9,2455.6,2456.25,2401.322394,2417.020551,8.162,8.16,8.161,,,12/3/2014,CRM138,2033.98,24.2,1.023205335,0.188539,2216.130391,2215.941852,2216.036122,2165.778505,2169.327762
5F,11/7/2014,1:41:00 PM,24° 53.798' N,80° 36.918' W,CalVal SE,23.9,34.6,John Fajans,1.011840341,35.00938708,12/4/2014,CRM138,2221.75,-0.3,25.3,1.022949417,2445.3,2445.6,2445.45,2390.587412,2406.285569,8.186,8.189,8.1875,,,12/3/2014,CRM138,2033.98,24.3,1.023251246,0.816608,2176.822406,2176.005798,2176.414102,2126.959639,2130.508896
8F,11/7/2014,1:57:00 PM,24° 54.311' N,80° 37.596' W,Transect 1,24,34.4,John Fajans,1.011986811,34.74342963,12/4/2014,CRM138,2221.75,2.7,25.15,1.022844117,2453.2,2450.5,2451.85,2397.090581,2412.788738,8.205,8.205,8.205,,,12/3/2014,CRM138,2033.98,24.5,1.023040264,2.887928,2160.819699,2157.931771,2159.375735,2110.743643,2114.2929
9F,11/7/2014,2:13:00 PM,24° 53.128' N,80° 36.246' W,Transect 2,24.8,35.1,John Fajans,1.012324372,35.60707914,12/5/2014,CRM138,2221.75,0.7,25.2,1.023357673,2446.4,2445.7,2446.05,2390.220022,2395.649248,8.222,8.219,8.2205,,,12/3/2014,CRM138,2033.98,25.1,1.023388194,-0.973922,2097.790308,2098.76423,2098.277269,2050.323896,2053.873152
10F,11/7/2014,2:20:00 PM,24° 52.164' N,80° 35.101' W,Transect 3,25.9,35.2,John Fajans,1.013102194,35.66996943,12/5/2014,CRM138,2221.75,-1.7,25.25,1.023417934,2435.3,2437,2436.15,2380.405813,2385.835038,8.231,8.231,8.231,,,12/3/2014,CRM138,2033.98,24.7,1.023585124,1.540255,2082.591029,2081.050774,2081.820902,2033.852244,2037.401501
11F,11/7/2014,2:30:00 PM,24° 51.282' N,80° 34.045' W,Transect 4,26.4,35.4,John Fajans,1.013398607,35.91508442,12/5/2014,CRM138,2221.75,-0.8,25.25,1.023569049,2432.4,2433.2,2432.8,2376.781519,2382.210745,8.236,8.236,8.236,,,12/3/2014,CRM138,2033.98,24.8,1.023706133,4.034088,2086.803304,2082.769216,2084.78626,2036.508518,2040.057775
12F,11/25/2014,9:53:00 AM,24° 53.896' N,80° 37.043' W,CalVal N,25.1,34.7,John Fajans,1.012692872,34.9755103,12/5/2014,CRM138,2221.75,1.4,25.2,1.023055487,2548.4,2547,2547.7,2490.285261,2495.714486,8.025,8.025,8.025,,,12/3/2014,CRM138,2033.98,24.7,1.023207054,-1.730154,2316.607811,2318.337965,2317.472888,2264.910977,2268.460234
13F,11/25/2014,9:58:00 AM,24° 53.891' N,80° 36.964' W,ADCP NE,25,34.7,John Fajans,1.012618784,35.0409454,12/5/2014,CRM138,2221.75,0.2,25.15,1.023070731,2536.6,2536.4,2536.5,2479.30072,2484.729945,8.059,8.061,8.06,,,12/3/2014,CRM138,2033.98,24.8,1.023176896,-2.93285,2291.449428,2294.382278,2292.915853,2240.976962,2244.526219
14F,11/25/2014,10:04:00 AM,24° 53.798' N,80° 36.918' W,CalVal SE,25.2,34.9,John Fajans,1.012693903,35.27328409,12/5/2014,CRM138,2221.75,-3.5,25.25,1.023191295,2513.2,2516.7,2514.95,2457.947026,2463.376252,8.099,8.077,8.088,,,12/3/2014,CRM138,2033.98,24.7,1.023358269,0.845123,2243.8599,2243.014777,2243.437339,2192.230626,2195.779883
15F,11/25/2014,10:12:00 AM,24° 53.735' N,80° 36.998' W,CalVal S,25.1,34.8,John Fajans,1.012656387,35.18679046,12/5/2014,CRM138,2221.75,-3.1,25.4,1.02306983,2524.5,2527.6,2526.05,2469.088547,2474.517772,8.077,8.084,8.0805,,,12/3/2014,CRM138,2033.98,24.8,1.023252489,0.505263,2262.920052,2262.414789,2262.667421,2211.250347,2214.799603
16F,11/25/2014,10:16:00 AM,24° 53.788' N,80° 37.092' W,ADCP S,24.9,34.7,John Fajans,1.0125447,35.04914999,12/5/2014,CRM138,2221.75,2.4,25.25,1.023040223,2538.2,2535.8,2537,2479.863394,2485.292619,8.043,8.041,8.042,,,12/3/2014,CRM138,2033.98,24.6,1.023237133,-3.560243,2300.871177,2304.43142,2302.651299,2250.359398,2253.908654
3K,12/11/2014,10:53:00 AM,24° 53.896' N,80° 37.043' W,CalVal N,21.5,35.2,John Fajans,1.009846339,36.14042368,1/9/2015,CRM138,2221.75,-0.2,26,1.023186181,2456.3,2456.5,2456.4,2400.736099,2401.46071,8.185,8.185,8.185,,,1/9/2015,CRM138,2033.98,25.4,1.02337193,-2.969333,2108.794361,2111.763694,2110.279028,2062.084141,2073.802057
4K,12/11/2014,11:00:00 AM,24° 53.891' N,80° 36.964' W,ADCP NE,21.8,35.2,John Fajans,1.010068136,36.19937407,1/9/2015,CRM138,2221.75,-1.7,25.3,1.023402619,2461.7,2463.4,2462.55,2406.237735,2406.962346,8.178,8.178,8.178,,,1/9/2015,CRM138,2033.98,25.2,1.02343323,-3.808562,2113.354869,2117.163431,2115.25915,2066.826723,2078.54464
